Date Time,Stock,Exchange,MG,MM,JS,JSratio,Permits,Starts,Completed,Unsold,Interest,JW,Reg
2005. 02,988.2,1008.1,77.675,61.0,47.4,,1214.0,,,,3.27,,SO
2005. 03,955.4,1024.3,78.065,61.3,47.6,,2920.0,,,,3.25,,SO
2005. 04,939.0,1002.5,78.065,62.0,47.8,,1140.0,,,,3.26,,SO
2005. 05,991.3,1002.5,77.987,62.6,47.8,,5337.0,,,,3.3,,SO
2005. 06,1058.7,1024.4,77.752,63.7,48.0,,6493.0,,,,3.28,,SO
2005. 07,1101.8,1028.3,78.065,64.9,48.2,,2167.0,,,,3.25,,SO
2005. 08,1171.0,1031.0,78.221,65.2,48.5,,1094.0,,,,3.25,,SO
2005. 09,1190.9,1038.0,78.533,65.3,49.3,,1973.0,,,,3.25,,SO
2005. 10,1253.3,1042.7,78.456,65.3,49.9,,821.0,,,,3.44,,SO
2005. 11,1338.8,1036.3,78.221,65.4,50.3,,1139.0,,,,3.5,,SO
2005. 12,1379.3,1013.0,78.456,65.8,50.4,,26898.0,,,,3.69,,SO
2006. 01,1341.7,971.0,78.846,66.3,50.8,,3644.0,,,,3.75,,SO
2006. 02,1331.7,969.0,79.08,66.9,51.3,,957.0,,,,3.92,,SO
2006. 03,1415.9,975.9,79.392,68.0,52.1,,2384.0,,,,3.98,,SO
2006. 04,1388.8,945.7,79.548,69.5,52.7,,2040.0,,,,3.97,,SO
2006. 05,1249.2,947.4,79.626,70.8,53.1,,2474.0,,,,3.96,,SO
2006. 06,1278.0,960.3,79.471,71.3,53.2,,6386.0,,,,4.16,,SO
2006. 07,1316.1,953.1,79.704,71.5,53.3,,6317.0,,,,4.21,,SO
2006. 08,1356.5,959.6,80.173,71.7,53.5,,356.0,,,,4.42,,SO
2006. 09,1354.0,945.2,80.329,72.3,54.2,,1126.0,,,,4.48,,SO
2006. 10,1403.9,944.2,80.094,73.8,55.1,,1820.0,,,,4.48,,SO
2006. 11,1418.8,929.9,79.861,78.2,56.0,,779.0,,,,4.47,,SO
2006. 12,1379.3,929.6,80.094,81.2,56.3,,11411.0,,,,4.49,,SO
2007. 01,1434.9,940.9,80.251,83.1,56.7,,1530.0,,,697.0,4.63,,SO
2007. 02,1431.6,938.3,80.719,83.6,57.0,,794.0,,,590.0,4.6,,SO
2007. 03,1517.1,940.3,81.188,84.0,57.4,,1888.0,,,687.0,4.6,,SO
2007. 04,1614.9,929.4,81.578,84.3,57.7,,1963.0,,,685.0,4.68,,SO
2007. 05,1754.3,929.9,81.656,84.3,57.7,,1866.0,,,704.0,4.62,,SO
2007. 06,1911.6,926.8,81.656,84.5,57.7,,1893.0,,,778.0,4.54,,SO
2007. 07,1815.0,923.2,81.89,84.8,57.7,,7338.0,,,840.0,4.67,,SO
2007. 08,1879.0,939.9,81.96799999999999,85.2,57.9,,11719.0,,,730.0,4.91,,SO
2007. 09,2004.6,920.7,82.436,85.6,57.9,,13182.0,,,724.0,4.97,,SO
2007. 10,1924.8,907.4,82.515,85.9,58.0,,8146.0,,,977.0,5.0,,SO
2007. 11,1904.0,929.6,82.59299999999999,86.5,58.0,,4768.0,,,1081.0,5.0,,SO
2007. 12,1732.3,938.2,82.82700000000001,86.9,57.9,,7755.0,,,454.0,4.99,,SO
2008. 01,1689.5,943.9,83.295,87.5,58.1,,1401.0,,,524.0,4.99,,SO
2008. 02,1651.2,937.3,83.53,88.1,58.2,,2577.0,,,788.0,4.97,,SO
2008. 03,1776.6,991.7,84.07600000000001,89.7,58.7,,1062.0,,,799.0,4.97,,SO
2008. 04,1846.8,999.7,84.46600000000001,91.9,59.1,,14590.0,,,764.0,4.99,,SO
2008. 05,1758.2,1031.4,85.01299999999999,93.3,59.3,,6269.0,,,1016.0,4.99,,SO
2008. 06,1569.6,1043.4,85.40299999999999,94.7,59.5,,5053.0,,,1090.0,4.93,,SO
2008. 07,1537.6,1008.5,85.949,95.4,59.6,,4388.0,,,1437.0,4.98,,SO
2008. 08,1446.6,1081.8,85.87200000000001,95.6,59.7,,2409.0,,,1491.0,5.21,,SO
2008. 09,1201.7,1187.7,86.10600000000001,95.8,59.8,,1522.0,,,1530.0,5.21,,SO
2008. 10,1074.0,1291.4,86.184,95.5,59.6,,1521.0,,,1981.0,4.89,,SO
2008. 11,1114.9,1482.7,86.02799999999999,94.7,59.0,,1603.0,,,2263.0,4.0,,SO
2008. 12,1156.4,1257.5,86.184,93.0,57.3,,6022.0,,,2486.0,3.27,,SO
2009. 01,1139.8,1368.5,86.41799999999999,92.2,56.3,40.7,764.0,,,2511.0,2.43,,SO
2009. 02,1140.5,1516.4,86.80799999999999,92.0,56.4,40.8,1852.0,,,2460.0,2.06,,SO
2009. 03,1322.1,1377.1,87.355,91.8,56.7,41.1,1256.0,,,2459.0,1.77,,SO
2009. 04,1400.5,1348.0,87.589,92.1,57.0,41.2,1812.0,,,2295.0,1.79,,SO
2009. 05,1395.2,1272.9,87.589,92.3,57.4,41.3,3359.0,,,2136.0,1.91,,SO
2009. 06,1460.0,1284.7,87.589,92.7,57.7,41.4,1386.0,,,2085.0,1.93,,SO
2009. 07,1577.9,1240.5,87.90100000000001,93.5,58.2,41.4,765.0,,,2060.0,1.94,,SO
2009. 08,1659.5,1244.9,88.135,93.9,58.7,41.6,903.0,,,1960.0,1.98,,SO
2009. 09,1630.6,1188.7,88.214,95.0,60.3,42.3,1663.0,,,1887.0,1.98,,SO
2009. 10,1583.5,1200.6,88.057,95.3,61.0,42.6,2430.0,,,1778.0,2.0,,SO
2009. 11,1646.6,1167.4,88.135,95.3,61.5,43.0,3520.0,,,1814.0,2.0,,SO
2009. 12,1682.2,1167.6,88.447,95.3,61.7,43.2,16380.0,,,1803.0,2.0,,SO
2010. 01,1599.0,1156.5,88.97399999999999,95.4,62.1,43.3,1273.0,,,1803.0,2.0,,SO
2010. 02,1665.5,1158.4,89.154,95.7,62.7,43.7,1236.0,,,1813.0,2.0,,SO
2010. 03,1730.3,1130.8,89.515,95.6,63.1,44.0,4699.0,,,1658.0,2.01,,SO
2010. 04,1648.3,1115.5,89.875,95.5,63.4,44.2,2945.0,,,1575.0,2.0,,SO
2010. 05,1691.9,1200.2,89.875,95.1,63.6,44.5,2417.0,,,1957.0,2.01,,SO
2010. 06,1731.1,1210.3,89.695,94.8,63.7,44.8,1477.0,,,1979.0,2.0,,SO
2010. 07,1762.2,1187.2,89.965,94.3,63.8,45.0,1718.0,,2245.0,1941.0,2.2,,SO
2010. 08,1815.8,1189.1,90.416,93.9,63.9,45.4,2534.0,,575.0,2085.0,2.27,,SO
2010. 09,1889.7,1142.0,91.227,93.6,64.3,45.8,3516.0,,692.0,2169.0,2.27,,SO
2010. 10,1924.7,1126.6,91.227,93.4,65.0,46.3,2809.0,,846.0,2506.0,2.26,,SO
2010. 11,2002.5,1157.3,90.777,93.3,65.7,46.8,1867.0,,864.0,2842.0,2.37,,SO
2010. 12,2091.6,1138.9,91.04700000000001,93.4,66.2,47.3,42699.0,,6295.0,2729.0,2.5,,SO
2011. 01,2002.9,1114.3,92.039,93.5,67.0,47.7,4907.0,352.0,3118.0,2269.0,2.66,7.4,SO
2011. 02,2002.7,1127.9,92.58,93.8,68.3,48.6,4606.0,606.0,1836.0,2216.0,2.75,7.4,SO
2011. 03,2153.1,1107.2,92.94,93.9,69.6,49.4,5098.0,3305.0,708.0,2104.0,2.92,7.4,SO
2011. 04,2121.9,1072.3,93.03,93.9,70.2,49.8,10620.0,2656.0,3362.0,1855.0,3.01,7.4,SO
2011. 05,2074.6,1080.6,93.211,93.9,70.1,50.0,7303.0,867.0,1191.0,1785.0,3.02,7.4,SO
2011. 06,2150.1,1078.1,93.391,93.8,70.4,50.5,7121.0,1970.0,1646.0,1825.0,3.2,7.4,SO
2011. 07,1869.4,1052.6,93.84200000000001,93.7,71.2,51.1,6380.0,2149.0,2792.0,1826.0,3.26,7.3,SO
2011. 08,1791.0,1071.7,94.473,93.6,72.4,52.1,3368.0,1043.0,1507.0,1767.0,3.25,7.3,SO
2011. 09,1825.9,1179.5,94.382,93.5,74.0,53.1,7276.0,1228.0,1661.0,1776.0,3.25,7.2,SO
2011. 10,1858.8,1104.5,94.292,93.3,74.7,53.8,3965.0,2500.0,2962.0,1821.0,3.24,7.2,SO
2011. 11,1863.2,1150.3,94.292,93.2,75.0,54.1,8405.0,1114.0,3580.0,1801.0,3.26,7.2,SO
2011. 12,1891.0,1153.3,94.56299999999999,93.0,74.8,54.1,19011.0,8269.0,3650.0,1861.0,3.26,7.1,SO
2012. 01,2003.2,1125.0,95.086,92.8,74.7,54.3,4428.0,2004.0,2605.0,1890.0,3.26,7.1,SO
2012. 02,2023.4,1126.5,95.48200000000001,92.5,74.7,54.4,6643.0,745.0,1097.0,1703.0,3.25,7.1,SO
2012. 03,1995.9,1137.8,95.60799999999999,92.1,74.7,54.5,6279.0,2950.0,1148.0,1732.0,3.25,7.0,SO
2012. 04,1886.4,1134.2,95.64399999999999,91.6,74.3,54.5,6109.0,2175.0,1080.0,1691.0,3.25,7.0,SO
2012. 05,1848.6,1177.8,95.744,91.1,74.0,54.7,5980.0,3427.0,1653.0,1703.0,3.26,7.0,SO
2012. 06,1826.8,1153.8,95.64399999999999,90.4,73.7,54.9,6865.0,944.0,1258.0,1698.0,3.26,6.9,SO
2012. 07,1918.9,1136.2,95.59,89.8,73.3,55.0,10417.0,1443.0,1161.0,3146.0,3.09,6.9,SO
2012. 08,1961.3,1134.6,96.15799999999999,89.0,73.1,55.2,7686.0,2570.0,2529.0,3847.0,3.0,6.9,SO
2012. 09,1942.2,1118.6,96.807,88.4,73.6,56.0,6108.0,3591.0,2329.0,3754.0,2.99,6.9,SO
2012. 10,1904.7,1094.1,96.564,87.8,74.2,56.7,6806.0,691.0,2963.0,3700.0,2.81,6.9,SO
2012. 11,1973.8,1084.7,96.185,87.4,74.7,57.3,8729.0,-44.0,1863.0,3594.0,2.75,6.8,SO
2012. 12,1986.1,1071.1,96.384,86.8,74.8,57.2,10073.0,1022.0,1796.0,3481.0,2.75,6.7,SO
2013. 01,1979.9,1082.7,96.90700000000001,86.3,75.1,57.8,3789.0,458.0,2214.0,3415.0,2.76,6.7,SO
2013. 02,1990.2,1085.4,97.177,86.0,75.6,58.3,3090.0,838.0,938.0,3308.0,2.75,6.7,SO
2013. 03,1938.9,1112.1,97.087,85.8,76.1,58.9,4127.0,2372.0,524.0,3168.0,2.74,6.6,SO
2013. 04,1974.5,1108.1,97.069,86.0,76.4,59.3,5314.0,1001.0,458.0,3035.0,2.75,6.6,SO
2013. 05,1884.4,1128.3,97.069,86.2,76.5,59.3,6206.0,770.0,2006.0,2908.0,2.56,6.6,SO
2013. 06,1871.8,1149.7,96.925,86.0,76.6,59.5,6809.0,856.0,1342.0,2722.0,2.49,6.5,SO
2013. 07,1897.0,1113.6,97.11399999999999,85.5,77.1,60.2,10730.0,1968.0,455.0,2581.0,2.48,6.5,SO
2013. 08,1984.4,1110.9,97.465,85.1,78.0,61.1,8794.0,4834.0,1657.0,3970.0,2.5,6.4,SO
2013. 09,2029.7,1075.6,97.691,85.2,79.0,61.9,5552.0,495.0,1978.0,4331.0,2.5,6.4,SO
2013. 10,2009.9,1061.4,97.43799999999999,85.6,80.2,62.5,5493.0,1528.0,2147.0,3808.0,2.5,6.3,SO
2013. 11,1988.3,1062.1,97.429,85.7,81.0,63.1,5400.0,5127.0,3620.0,3568.0,2.5,6.2,SO
