Date Time,Stock,Exchange,MG,MM,JS,JSratio,Permits,Starts,Completed,Unsold,Interest,JW,Reg
1994. 07,938.9,802.6,6.2917718324079,,,,,,,,1.5199999999999996,,SO
1994. 08,1002.4,801.1,6.674442455808727,,,,,,,,2.9000000000000004,,SO
1994. 09,1085.3,798.9,6.003207055522153,,,,,,,,0.8399999999999999,,SO
1994. 10,1110.5,796.9,6.015913840218623,,,,,,,,-0.19000000000000128,,SO
1994. 11,1040.7,794.3,5.5757406372275,,,,,,,,0.120000000000001,,SO
1994. 12,965.3,788.7,4.1499832343833365,,,,,,,,1.5099999999999998,,SO
1995. 01,929.7,786.7,3.2952265955167537,,,,,,,,0.629999999999999,,SO
1995. 02,942.4,786.0,3.094179075614001,,,,,,,,2.84,,SO
1995. 03,902.7,771.5,4.06175726072926,,,,,,,,0.5800000000000001,,SO
1995. 04,884.2,761.8,4.526161444667398,,,,,,,,-0.19000000000000128,,SO
1995. 05,884.3,760.1,3.9803665925300935,,,,,,,,-0.4900000000000002,,SO
1995. 06,945.7,758.1,2.610132786231256,,,,,,,,-2.83,,SO
1995. 07,916.9,756.5,2.3394789428043516,,,,,,,,-3.9499999999999993,,SO
1995. 08,971.2,777.1,3.16346790205162,,,,,,,,-0.48999999999999844,,SO
1995. 09,999.0,768.4,4.226526666919361,,,,,,,,-1.17,,SO
1995. 10,957.3,765.5,3.4697929469603928,,,,,,,,-2.4499999999999993,,SO
1995. 11,918.1,769.2,3.530102456299833,,,,,,,,-1.3899999999999988,,SO
1995. 12,866.1,774.7,3.5784988404758744,,,,,,,,-0.3200000000000003,,SO
1996. 01,874.8,784.3,3.661601950853499,,,,,,,,-1.17,,SO
1996. 02,857.4,780.7,2.9190574341262154,,,,,,,,-0.6399999999999988,,SO
1996. 03,920.2,782.7,3.0030639743068965,,,,,,,,-0.7300000000000004,,SO
1996. 04,942.6,778.7,3.4997787284260173,,,,,,,,-1.8499999999999996,,SO
1996. 05,867.7,787.9,4.619087290567436,,,,,,,,0.4299999999999997,,SO
1996. 06,832.2,810.6,4.295687733711562,,,,,,,,1.92,,SO
1996. 07,805.4,813.3,4.2743502327798,,,,,,,,2.25,,SO
1996. 08,783.4,819.4,3.74599941809719,,,,,,,,5.08,,SO
1996. 09,806.7,821.2,4.362207602339185,,,,,,,,4.4399999999999995,,SO
1996. 10,740.9,831.3,4.560338046719226,,,,,,,,3.0,,SO
1996. 11,690.6,828.7,3.9499790669312196,,,,,,,,2.0,,SO
1996. 12,669.6,844.2,3.6317903803698703,,,,,,,,-0.45000000000000107,,SO
1997. 01,698.1,861.3,3.8159675236806523,,,,,,,,-4.02,,SO
1997. 02,656.7,863.9,3.693217453633202,,,,,,,,-2.41,,SO
