Permits	JS	p_corr
50	10	-0.4115012867063795
50	11	-0.41481515438546157
50	12	-0.4187071862834643
50	13	-0.42205581715388624
50	14	-0.42446971601536365
50	15	-0.42508012963023617
50	16	-0.42458760861571404
50	17	-0.42361762381582285
50	18	-0.4221991592557036
50	19	-0.4201578601264667
50	20	-0.4171688250263592
50	21	-0.4132761745079419
50	22	-0.40875081472216357
50	23	-0.40398054688051593
51	8	-0.4024068591565761
51	9	-0.4066597525061449
51	10	-0.40996902400437246
51	11	-0.41299570424760296
51	12	-0.41632189822500465
51	13	-0.4196954058616448
51	14	-0.422595809692061
51	15	-0.42389464225167495
51	16	-0.42423130429034495
51	17	-0.423315504918274
51	18	-0.42219472144546705
51	19	-0.42058529404698514
51	20	-0.41829022781856673
51	21	-0.41511558824690054
51	22	-0.4111667957591012
51	23	-0.4068027092445184
51	24	-0.40238952182327375
52	9	-0.40436874374325776
52	10	-0.4079499409805229
52	11	-0.41109050926501395
52	12	-0.4141732413129171
52	13	-0.41702133944475334
52	14	-0.4199490382538751
52	15	-0.4217149054131686
52	16	-0.4226995247630964
52	17	-0.4225678453634343
52	18	-0.42150175771689397
52	19	-0.4201657008592302
52	20	-0.4182772943810458
52	21	-0.4157697197864162
52	22	-0.41251640386276855
52	23	-0.4087183078823146
52	24	-0.4047037590573288
52	25	-0.40076208655209555
53	9	-0.4011231751353997
53	10	-0.40505749124116136
53	11	-0.40847797353975734
53	12	-0.4117126670255283
53	13	-0.4143658075533588
53	14	-0.4168413263382501
53	15	-0.4186655843879915
53	16	-0.42011008292736074
53	17	-0.4206016051323474
53	18	-0.42028405487316595
53	19	-0.4190142104799121
53	20	-0.4173897964638875
53	21	-0.41527997518423027
53	22	-0.4126778605738964
53	23	-0.40956212545370524
53	24	-0.40610263628809223
53	25	-0.40255189238077765
54	10	-0.40171907360505354
54	11	-0.405452122320097
54	12	-0.40892754252311725
54	13	-0.41171340076968027
54	14	-0.41400223320160645
54	15	-0.4154101321980452
54	16	-0.4169082588809163
54	17	-0.41783393744479214
54	18	-0.41810292985546493
54	19	-0.41753447470495475
54	20	-0.415971837406684
54	21	-0.4141100990772335
54	22	-0.41189051511873914
54	23	-0.40940476819465077
54	24	-0.40660157600933833
54	25	-0.4035886698584478
54	26	-0.4005082478894941
55	11	-0.40228188002079956
55	12	-0.4060330789062974
55	13	-0.4090285400587899
55	14	-0.411450208708827
55	15	-0.41269010138368645
55	16	-0.41378867425241883
55	17	-0.41474835843519875
55	18	-0.4154212006452155
55	19	-0.4154045465937838
55	20	-0.4144990228138143
55	21	-0.4126960509951545
55	22	-0.4107155963979981
55	23	-0.40860170359701625
55	24	-0.40639925269345417
55	25	-0.4040160742696757
55	26	-0.4014542132430493
56	12	-0.4030961130014446
56	13	-0.4063364815100427
56	14	-0.4089525785837649
56	15	-0.41032829243823793
56	16	-0.4112643483999459
56	17	-0.41183444074326936
56	18	-0.41251748345740724
56	19	-0.412874913078855
56	20	-0.4124809603552828
56	21	-0.41130047078170767
56	22	-0.4093730598093641
56	23	-0.4074910196790191
56	24	-0.40563395721040674
