Date Time,MG,MM,JS,JSratio,Permits,Starts,Completed,Unsold,Interest,JW,Reg
2011. 01,3.806964628461751,0.21141649048626032,14.516129032258075,51.7,-0.5730113639595543,,,4.169032497520694,0.6600000000000001,,GG
2011. 02,3.992790037142213,0.8510638297872353,15.297906602254407,52.7,-0.559451744980411,,,4.0817175983221485,0.6399999999999997,,GG
2011. 03,3.6631227579629666,1.0660980810234477,16.108452950558206,54.1,-0.4590793929968659,,,4.06679093730558,0.52,,GG
2011. 04,3.6631227579629666,1.3888888888889062,17.192429022082024,55.1,-0.49936860571075786,,,3.9653988618637674,0.54,0.0,GG
2011. 05,4.079987801424623,1.6042780748663166,16.95178849144636,55.5,-0.3061829996803167,,,3.9019302138014473,0.5099999999999998,-0.09999999999999964,GG
2011. 06,3.765458884790629,1.4957264957265126,16.228748068006183,55.2,-0.5840772599080509,,,3.878265995116644,0.33000000000000007,-0.1999999999999993,GG
2011. 07,3.039115737511411,1.1727078891258014,14.525993883792054,55.7,-1.045182234043638,,,3.814736669570517,0.2400000000000002,-0.29999999999999893,GG
2011. 08,2.7812087397248497,0.424628450106157,11.773472429210141,56.7,-4.190546264136686,,,3.803268625130958,0.2200000000000002,-0.29999999999999893,GG
2011. 09,2.7731181654103487,-0.10570824524311906,8.526011560693636,57.8,-3.6858011369647747,,,3.7146188212886555,0.05999999999999961,-0.3999999999999986,GG
2011. 10,2.548763801826448,-0.5274261603375519,6.524822695035448,58.4,-2.2179334180501358,,,3.645143102329424,0.0,-0.29999999999999893,GG
2011. 11,2.2728235094851,-0.8438818565400852,6.382978723404253,58.4,-2.0007457278497163,,,3.605581382887137,0.009999999999999787,-0.3000000000000007,GG
2011. 12,2.258943853939943,-1.1603375527426074,5.352112676056331,58.2,2.3030305788236096,,,3.6031542835348493,0.0,-0.40000000000000036,GG
2012. 01,1.554703503335264,-1.5822784810126556,4.329608938547502,58.3,2.547415435827024,,,3.6872532760916132,0.009999999999999787,-0.40000000000000036,GG
2012. 02,0.8405557704571631,-2.215189873417711,2.197802197802212,58.4,2.250272750956482,,,3.7587313520164822,-0.009999999999999787,-0.3000000000000007,GG
2012. 03,1.2420152429143405,-3.0558482613277205,0.0,58.5,2.275209981262953,,,3.7748108852253877,0.0,-0.3000000000000007,GG
2012. 04,2.055253244035149,-3.7894736842105203,-1.0638297872340385,58.7,2.597289896439965,,,3.8282070709757137,0.0,-0.1999999999999993,GG
2012. 05,1.7292030402191294,-4.421052631578948,-0.6648936170212782,58.8,2.1671226736533433,,,3.8031472701633446,-0.16000000000000014,0.0,GG
2012. 06,1.0373163085703352,-4.741833508956795,0.0,59.0,2.1035327363718426,,-7.09864883040736,3.7785122117376257,-0.25,0.0,GG
2012. 07,0.7293220619923879,-4.968287526427051,0.0,59.1,1.8702917041616327,,-6.71821491507032,3.8522353545633603,-0.2599999999999998,0.0,GG
2012. 08,1.0010123757773437,-5.502645502645509,0.0,59.4,-4.222575019311559,,-7.365335558306379,3.8401605352857295,-0.44999999999999973,0.0,GG
2012. 09,1.5400686773406003,-5.726405090137854,0.13315579227697327,60.0,-3.0595649408935266,,-7.8203243080584635,3.8486553830187358,-0.5099999999999998,0.0,GG
2012. 10,1.4366894038980949,-5.7446808510638325,0.6666666666666599,60.7,-2.6662580616536573,,-8.111139227232213,4.031355286762182,-0.33999999999999986,-0.20000000000000018,GG
2012. 11,1.0859232931063056,-5.442902881536826,1.8716577540107027,61.1,-2.6128768030288683,,-7.827345739381798,4.3430555210797115,-0.2400000000000002,-0.2999999999999998,GG
2012. 12,1.1905870183605005,-4.8231511254019255,2.409638554216853,60.7,0.42330891562866235,,-7.6151708510293945,4.504578982974449,-0.2400000000000002,-0.40000000000000036,GG
2013. 01,1.345705251153384,-4.207119741100329,3.2258064516129004,61.2,0.15671433788354774,,-7.963816831829884,4.6376447049636145,-0.06999999999999984,-0.5,GG
2013. 02,1.1792769442063644,-3.6956521739130443,3.6339165545087537,61.5,0.1793137028487869,,-7.564488883113688,4.861059200341685,0.0,-0.5999999999999996,GG
2013. 03,0.7874984619170577,-3.2822757111597323,4.301075268817178,62.0,0.20199099665873377,,-8.167055353043496,5.048188560403056,-0.18999999999999995,-0.39999999999999947,GG
2013. 04,1.173629309901858,-2.643171806167388,4.953145917001334,62.5,0.3866044297713256,,-7.812664564796643,5.325423983918103,-0.2699999999999996,-0.40000000000000036,GG
2013. 05,1.166853926793321,-1.7699115044247926,6.008010680907883,62.6,0.546981992179816,,-7.212906667396169,5.571228470821026,-0.27,-0.2999999999999998,GG
2013. 06,0.9585321704788319,-1.001112347052291,6.933333333333347,62.8,0.17206632029096874,,-7.430954025582634,5.776500398540747,-0.2400000000000002,-0.2999999999999998,GG
2013. 07,0.5042394984197784,-0.11198208286673506,7.589880159786966,63.1,-0.5002258230025431,,-7.582744604554358,6.105979135613784,-0.25,-0.20000000000000018,GG
2013. 08,0.5765332627096997,0.6749156355455588,8.776595744680836,63.8,-4.780311760884722,-12.471179408239005,-7.860027310632228,6.461852578142948,-0.06000000000000005,-0.3000000000000007,GG
2013. 09,1.0163369013969525,1.3544018058690765,9.536423841059616,64.4,-4.395888769941532,-11.741017202560258,-7.931645910130242,6.682475909265888,0.009999999999999787,-0.2999999999999998,GG
2013. 10,1.4289364746767452,1.9187358916478603,9.842519685039374,64.9,-4.0957847889720975,-11.665293204347307,-7.93509279459806,6.914992027215036,0.020000000000000018,-0.39999999999999947,GG
2013. 11,1.5036902255024298,1.5765765765765938,9.542483660130706,65.4,-4.113162921341919,-11.733632354437322,-7.192353022976953,6.895635909880543,0.0,-0.40000000000000036,GG
2013. 12,1.7564678321893012,1.5765765765765938,9.244791666666675,65.8,-3.1726396945644306,-11.715697723281624,-7.709768680312866,6.87864621441453,-0.009999999999999787,-0.6000000000000005,GG
2014. 01,1.3798593604882559,1.6930022573363512,9.220779220779217,66.4,-3.0351732125000104,-11.973698528338442,-8.08752168550827,6.6840535238448755,-0.020000000000000018,-0.5999999999999996,GG
2014. 02,1.2167826476213728,1.9230769230769162,8.762886597938158,66.9,-2.786424340192964,-11.942869717920477,-8.53970186273102,6.305729412307052,-0.009999999999999787,-0.5999999999999996,GG
2014. 03,1.2158826576736503,2.149321266968318,8.163265306122437,67.3,-2.6396843256083247,-11.603635583511377,-8.81060144942404,5.880865670689114,-0.009999999999999787,-0.5,GG
2014. 04,1.462122369962815,2.2522522522522515,7.808564231738013,67.5,-2.590199509218922,-10.414440596095918,-8.42544402574221,5.335375091262485,-0.020000000000000018,-0.5,GG
2014. 05,1.1164989201744024,2.4719101123595433,7.4812967581047385,67.6,-2.5919918726471995,-10.097829885301522,-8.118032996167852,4.996855409102177,0.0,-0.2999999999999998,GG
2014. 06,0.8273630220630324,2.4663677130044803,7.425742574257432,67.7,-3.707387426948815,-11.156676442356606,-8.001987885751285,4.758756962642767,-0.14000000000000012,-0.20000000000000018,GG
2014. 07,0.3423166124834287,2.346368715083802,6.723716381418088,68.0,-2.9972997939720587,-11.4346046153642,-8.512509774151562,4.177648700221319,-0.25,-0.10000000000000053,GG
2014. 08,0.7525632607707333,2.2271714922049046,6.166868198307118,68.2,-6.640551212902738,-11.296519677446467,-8.682300749788563,3.421425219532322,-0.4200000000000004,-0.20000000000000018,GG
2014. 09,0.46053228260760637,2.1040974529346723,5.734767025089593,68.4,-5.959842754380793,-10.692251549292036,-8.689705168274989,2.6935988012650895,-0.5,-0.20000000000000018,GG
2014. 10,0.41592394533569443,2.7716186252771724,6.56324582338903,68.6,-5.060933530677227,-9.231106599254217,-9.272994617662551,1.8198430344415675,-0.5000000000000002,-0.2999999999999998,GG
2014. 11,0.27143862471097346,3.658536585365857,7.86650774731823,68.9,-4.145425463050917,-8.642194266403031,-9.051628037395965,1.099358591715005,-0.34999999999999987,-0.2999999999999998,GG
2014. 12,0.741948798485903,4.439511653718098,8.680142687277058,69.2,-2.2230767218008474,-7.879679392757141,-9.686620753800808,0.4903386867422488,-0.2500000000000002,-0.39999999999999947,GG
2015. 01,0.564892248311355,5.105438401775819,9.3601895734597,69.4,-2.057555855641647,-7.692596573642791,-9.324442559904437,-0.014740688468792562,-0.23999999999999977,-0.5,GG
2015. 02,0.6282365220183994,5.31561461794019,9.551886792452846,69.7,-2.2248690852291246,-7.7871929615032425,-9.234440576578056,-0.43693462079921375,-0.25,-0.39999999999999947,GG
2015. 03,0.8134163486643864,5.286343612334798,9.228971962616829,69.9,-1.3957061775389696,-6.696462615726916,-9.19729082175823,-0.8752687638223472,-0.25,-0.40000000000000036,GG
2015. 04,0.8261132379609126,5.263157894736836,9.280742459396762,70.3,-0.24960665842251217,-5.148575005197481,-9.460275340414036,-1.1906703246521158,-0.41999999999999993,-0.5,GG
2015. 05,1.0527165739778077,5.689277899343526,9.447004608294929,70.5,0.12180221545448766,-4.316900442781249,-9.823474833411982,-1.7309426404713268,-0.51,-0.40000000000000036,GG
2015. 06,0.8609465365321922,5.895196506550215,9.621993127147777,70.8,1.6651829848909088,-3.484757001119117,-9.692748548410261,-2.198462653205718,-0.3400000000000001,-0.2999999999999998,GG
2015. 07,0.4812512532584856,5.882352941176472,9.453302961275622,73.7,2.801619327263609,-2.121138934228627,-8.438337926899605,-2.4941440317981503,-0.25,-0.40000000000000036,GG
2015. 08,0.7322700371150681,5.531453362255956,8.813559322033893,73.8,0.8193433044333016,-0.7121568002972517,-7.461337673854516,-2.6708368646446843,-0.26,-0.39999999999999947,GG
2015. 09,1.1232574465951384,4.962243797195254,8.062709966405368,74.0,3.1773922164442414,0.15374594706972577,-7.0888188265546885,-2.7904321852286538,-0.08000000000000007,-0.40000000000000036,GG
2015. 10,0.8121114898736792,4.064171122994642,6.850828729281777,74.2,4.528210810607883,2.603640006900487,-6.842175093524098,-2.8807809586175583,0.0,-0.5,GG
2015. 11,0.6695313280703497,3.4006376195536703,6.236323851203496,74.4,5.6223317903042895,4.955538304338017,-7.288355138525089,-2.439655651339294,0.0,-0.5,GG
2015. 12,0.7296351824088054,2.745512143611406,5.417118093174422,74.6,8.041476916566083,5.643032498639807,-6.48369910887094,-1.7592183479254766,0.010000000000000009,-0.5,GG
2016. 01,0.5385459259998004,2.5236593059936974,5.059203444564031,74.8,8.946308732467434,5.5857120108284555,-6.011475936779762,-1.1478926985680473,0.010000000000000009,-0.40000000000000036,GG
2016. 02,0.2689510907460946,2.092050209205021,4.705882352941182,74.9,9.907015530024223,5.727196323278969,-5.506826518213547,-0.6748510348072017,-0.010000000000000009,-0.2999999999999998,GG
2016. 03,0.7494004796163134,1.7708333333333437,4.14012738853502,75.1,10.983602519661392,6.474355401621614,-5.301800723572176,-0.14319492168861148,0.010000000000000009,-0.20000000000000018,GG
2016. 04,1.2285257690771045,1.2422360248447228,3.368421052631576,75.4,11.787204766287413,7.630846061635504,-4.902217450080586,0.3051510061627082,-0.19999999999999996,-0.10000000000000053,GG
2016. 05,1.5410787551285887,1.0309278350515427,2.925809822361547,75.5,12.13546877328622,8.695905268698771,-4.963878383338234,0.7186073808248942,-0.26,0.0,GG
2016. 06,1.1275194571941594,1.1316872427983515,2.809573361082207,75.7,14.033347857298066,10.4066111973672,-4.228926017366644,1.1318210455518514,-0.26,0.0,GG
2016. 07,1.0754829715196257,1.0277492291880685,2.699896157840098,75.8,14.990703714532424,12.194096102551853,-3.9766651392773844,1.3884261245724536,-0.24,0.0,GG
2016. 08,1.83477139740158,1.0277492291880685,2.4870466321243567,76.0,14.378572639353274,12.705408920206484,-3.2166909453171835,1.7180262166131044,-0.26,-0.09999999999999964,GG
2016. 09,2.396817503729487,1.0277492291880685,2.2750775594622574,76.0,14.53505375952638,14.470270401776432,-2.6819132032544784,2.0069723945029385,-0.06000000000000005,-0.09999999999999964,GG
2016. 10,2.1639864999007496,1.1305241521069043,1.9567456230690006,76.1,15.170953132341385,15.882065811183212,-2.035686196732298,2.1334242707571205,0.0,-0.20000000000000018,GG
2016. 11,1.944830323476876,1.2332990750256956,1.9527235354573458,76.1,16.470182831308513,17.15812067890176,-1.9147899155832455,1.6836220832944284,0.010000000000000009,-0.20000000000000018,GG
2016. 12,2.0632873722844947,1.1282051282051286,1.8442622950819887,76.2,18.52906290848651,17.51868881899934,-0.9965143608787725,0.9206027244190266,-0.010000000000000009,-0.20000000000000018,GG
2017. 01,1.9670176832902841,1.2295081967213184,1.6343207354443168,76.2,18.878729634690053,17.498058132179715,-0.49939702318668056,0.3633407131338026,0.0,-0.10000000000000053,GG
2017. 02,1.9438659129227487,1.4329580348003912,1.5290519877675823,76.2,19.441142106945676,17.803650180695445,-0.33305293201749825,-0.0006635122255243264,0.0,-0.10000000000000053,GG
2017. 03,2.03256043413913,1.7382413087934534,1.6293279022403295,76.3,19.173456525374654,18.182504611383152,0.1641920680622907,-0.2786877430300644,0.0,0.0,GG
2017. 04,2.000591307775701,1.73469387755103,1.4213197969543234,76.3,19.29432416351633,18.014528621539252,0.3269616123759572,-0.585473101159212,0.0,0.0,GG
2017. 05,2.0226936359151626,1.5259409969481164,1.1133603238866474,76.3,19.17220966385933,18.33113933233365,0.6976931862480258,-0.9079132501106145,0.010000000000000009,0.0,GG
2017. 06,1.1231527093596094,1.729399796541209,1.1122345803842304,76.3,18.636916429561992,17.970922851670494,1.2521309360160677,-1.4241572823421789,0.0,0.0,GG
2017. 07,0.36034281262173895,1.729399796541209,0.9100101112234471,76.2,18.760589506113146,17.713625365482525,1.5285200053800585,-1.890342390432812,0.020000000000000018,0.0,GG
2017. 08,0.4564879564879609,1.831129196337744,0.6066734074823055,76.0,17.112082725166008,17.999641705481906,2.455987251998715,-2.5131360842298003,0.020000000000000018,0.0,GG
2017. 09,1.2922658375437157,1.9308943089430874,0.0,75.9,17.181673183490002,18.735782121545885,3.311452911956267,-3.0198537515036357,0.020000000000000018,0.0,GG
2017. 10,1.3626630328985812,2.0304568527918843,-0.5040322580645129,75.9,17.349765701524557,18.73941593570161,4.381008396081677,-3.425300698303273,0.27,0.0,GG
2017. 11,1.360676450578291,2.0283975659229236,-1.106639839034218,75.8,17.186972344930126,18.24556886995678,5.475330383420304,-3.7906398283063583,0.27,0.0,GG
2017. 12,1.7147310989867437,1.8218623481781382,-1.70854271356784,78.1,18.249220427141076,17.601914885146698,5.965553952176758,-4.0678752518214045,0.24,0.0,GG
2018. 01,1.381457340208181,1.5136226034308864,-2.30923694779116,77.8,17.224222332700418,16.29174905228888,7.20656002297923,-4.461126024375797,0.24,0.0,GG
2018. 02,0.58021467943139,1.005025125628145,-3.006012024048099,77.3,16.13976452974777,15.118847618668466,8.263221605947244,-4.814026270198408,0.21999999999999997,0.10000000000000053,GG
2018. 03,1.4106280193236564,0.8024072216650024,-3.5035035035035023,77.0,14.993275366407772,15.511299547487289,8.674805143882349,-5.24137778865244,-0.010000000000000009,0.10000000000000053,GG
2018. 04,2.2437137330754364,1.2024048096192397,-3.703703703703709,76.6,14.556250405286871,14.266894028867032,9.058430618911814,-5.502655033926197,-0.010000000000000009,0.10000000000000053,GG
2018. 05,2.7377240841777173,1.4999999999999902,-3.7999999999999923,76.2,12.43385831967208,14.2425123080802,10.109347394433462,-5.706410024550737,0.0,0.10000000000000053,GG
2018. 06,1.6593886462882068,1.7000000000000126,-3.8076152304609145,75.9,11.674909301063582,11.905969805945915,10.472291562656013,-5.8942068369339875,0.010000000000000009,0.10000000000000053,GG
