Completed	JS	p_corr
17	3	-0.606344461103486
17	4	-0.6286194580554454
17	5	-0.6434968764401351
17	6	-0.6556140761225986
17	7	-0.6674094862907299
17	8	-0.6800193391410941
17	9	-0.6870165153901225
17	10	-0.6904199766348089
17	11	-0.6916868254755983
17	12	-0.6930553143975997
17	13	-0.6931934140387797
17	14	-0.6917476993828582
17	15	-0.6903940072887277
17	16	-0.6892896805888233
17	17	-0.6878232841298584
17	18	-0.6867001260769202
17	19	-0.6859542768659939
17	20	-0.6853515832999095
17	21	-0.6842469026293247
17	22	-0.6823597491491239
17	23	-0.6790230260282073
17	24	-0.6753634862299929
17	25	-0.671547416191315
17	26	-0.6675948842431844
17	27	-0.6637366040080448
17	28	-0.658838989058215
17	29	-0.6543337415033914
17	30	-0.6501202796139132
17	31	-0.6462838187274502
17	32	-0.6424067124229736
17	33	-0.638581580493357
17	34	-0.6344861769941165
17	35	-0.6297315297889907
18	2	-0.5541817080867751
18	3	-0.5963315447792691
18	4	-0.6217707804459135
18	5	-0.6405079603352716
18	6	-0.6536066573568082
18	7	-0.6656810259914909
18	8	-0.6768047574008368
18	9	-0.6882734013916333
18	10	-0.6956309706315318
18	11	-0.6997577821869734
18	12	-0.7019119283671242
18	13	-0.703291103977797
18	14	-0.7035146414854747
18	15	-0.7024630895945022
18	16	-0.7014687756494984
18	17	-0.7003865361130446
18	18	-0.6993918462608562
18	19	-0.6988486032471372
18	20	-0.6985981475196266
18	21	-0.6980090792891288
18	22	-0.696714820012941
18	23	-0.6946981669623438
18	24	-0.691538819777169
18	25	-0.687765735245247
18	26	-0.6840209188053116
18	27	-0.6800539589178138
18	28	-0.6759095780061786
18	29	-0.6710430470308454
18	30	-0.6666658848047929
18	31	-0.6627157276043473
18	32	-0.6588262908420928
18	33	-0.6547328475247386
18	34	-0.6502151386152277
18	35	-0.6456230468330315
19	2	-0.5478424326053978
19	3	-0.5867532872172575
19	4	-0.6118114424971668
19	5	-0.6320761416040729
19	6	-0.6483576458170036
19	7	-0.6617775593753187
19	8	-0.6735431323022525
19	9	-0.6841640898908963
19	10	-0.6954273678366705
19	11	-0.7032020316909731
19	12	-0.7081800130488926
19	13	-0.7105338815696252
19	14	-0.7120536681306492
19	15	-0.7127112914193893
19	16	-0.7121414068822313
19	17	-0.7113102859800755
19	18	-0.7107688511160131
19	19	-0.7104329223409477
19	20	-0.7104167588291479
19	21	-0.7101790256414212
19	22	-0.7093895428269508
19	23	-0.7079485540114367
19	24	-0.706010757233743
19	25	-0.7026922951141872
19	26	-0.6989733752986121
19	27	-0.6951893374924101
19	28	-0.6909417656505221
19	29	-0.6867975023394114
19	30	-0.6820927563102188
19	31	-0.6779873452371651
19	32	-0.6739890229154923
19	33	-0.6698950052047701
19	34	-0.6651436827487478
19	35	-0.6601550190856125
20	2	-0.5433785586328043
20	3	-0.5798278331903268
20	4	-0.603015407912028
20	5	-0.6231109147677459
20	6	-0.6405129834113066
20	7	-0.6566758099795409
20	8	-0.669698599693501
20	9	-0.6810368917851182
20	10	-0.6915843647643134
20	11	-0.7030121832527756
20	12	-0.7114574586122806
20	13	-0.7166262680886302
20	14	-0.7191556617957358
20	15	-0.7211422499877521
20	16	-0.7222449597376716
20	17	-0.7218484477942841
20	18	-0.721589415437582
20	19	-0.7217327767159039
20	20	-0.7219685711650126
20	21	-0.7219911810860822
20	22	-0.7215739692900269
20	23	-0.7206393146830654
20	24	-0.7192661362675574
20	25	-0.717220445653394
20	26	-0.7139654789431767
20	27	-0.7102250452203661
20	28	-0.706196710417628
20	29	-0.7019781061463171
20	30	-0.6980074511074582
20	31	-0.6935867883871226
20	32	-0.6894364462036257
20	33	-0.6852404954634571
20	34	-0.6804918270003751
20	35	-0.6752987076332341
21	2	-0.5439971664202128
21	3	-0.5766932698894252
21	4	-0.5987360944990715
21	5	-0.6162885130785751
21	6	-0.6328467873885716
21	7	-0.6491377647099021
21	8	-0.6641569007796678
21	9	-0.6765002522908535
21	10	-0.6876877087241484
21	11	-0.6986397938775024
21	12	-0.7100372948685816
21	13	-0.7182530947627275
21	14	-0.723391599455391
21	15	-0.7264475833404823
21	16	-0.7288606122414081
21	17	-0.7301202034506695
21	18	-0.7303926406183613
21	19	-0.7309157146578613
21	20	-0.7316898360488481
21	21	-0.7320204971982264
21	22	-0.7318900116202495
21	23	-0.7313337485142618
21	24	-0.7304539469675154
21	25	-0.7289433776393475
21	26	-0.7268536362417132
21	27	-0.7235510315193565
21	28	-0.7195864868499521
21	29	-0.7155745088971922
21	30	-0.7115396676805037
21	31	-0.7078107477574256
21	32	-0.703386480267736
21	33	-0.699066189084056
21	34	-0.6942521348029854
21	35	-0.6890936190332105
22	2	-0.5419476017783575
22	3	-0.5745765920255895
22	4	-0.5936867818006552
22	5	-0.6110848633307353
22	6	-0.6254777014430031
22	7	-0.6408244903125068
22	8	-0.6556792076679898
22	9	-0.6696531797707401
22	10	-0.6818114437057015
22	11	-0.6934328275149673
22	12	-0.7046091284194148
22	13	-0.7153641161075173
22	14	-0.7232874502357668
22	15	-0.7287896567004899
22	16	-0.7323749651695977
22	17	-0.7349976109336228
22	18	-0.7369555523449608
22	19	-0.7381393266682269
22	20	-0.7393832075152195
22	21	-0.7403225204988464
22	22	-0.7405700523383894
22	23	-0.7403549081257913
22	24	-0.7398817991501899
22	25	-0.7388790512039636
22	26	-0.7373114233857305
22	27	-0.7350989264473109
22	28	-0.7315741719401914
22	29	-0.7276409072203391
22	30	-0.7238218860422715
22	31	-0.7200446135590788
22	32	-0.7162966503395657
22	33	-0.7117497812390261
22	34	-0.7068540280868039
22	35	-0.70167605651977
23	2	-0.5349721701131087
23	3	-0.5687523343185628
23	4	-0.5893941457648378
23	5	-0.6043335619098887
23	6	-0.6190192497871949
23	7	-0.6324428470868332
23	8	-0.6463905938114022
23	9	-0.6598361552225703
23	10	-0.6732097225054481
23	11	-0.6857356780647463
23	12	-0.6976052145248282
23	13	-0.7084049077278468
23	14	-0.7184067709484105
23	15	-0.7264138799750748
23	16	-0.7323183842010763
23	17	-0.7361768036937029
23	18	-0.7395474770929216
23	19	-0.7424335675575555
23	20	-0.7444353221142223
23	21	-0.7459361972007341
23	22	-0.7468718832937951
23	23	-0.7470932691606232
23	24	-0.74701058458033
23	25	-0.7464502929332241
23	26	-0.745407839844737
23	27	-0.7437320802484098
23	28	-0.7412852007315294
23	29	-0.7378306238670408
23	30	-0.7341246576194842
23	31	-0.730585216755199
23	32	-0.7268154478769062
23	33	-0.7229424488667711
23	34	-0.7178676248117345
23	35	-0.7126393211761118
24	2	-0.536137194072022
24	3	-0.5623421882438749
24	4	-0.5826090388573829
24	5	-0.5997117963036397
24	6	-0.6131060354226012
24	7	-0.6266929910308658
24	8	-0.6386607322371233
24	9	-0.6511333964634712
24	10	-0.6636245984105158
24	11	-0.67697180962997
24	12	-0.6895134766816702
24	13	-0.700855477191788
24	14	-0.7109277316721224
24	15	-0.7205777063881531
24	16	-0.7286456860138126
24	17	-0.7346285283780857
24	18	-0.7392643826905684
24	19	-0.7435620491554565
24	20	-0.7472378837893945
24	21	-0.7494937749190203
24	22	-0.7510006591037403
24	23	-0.7519305392876953
24	24	-0.7523401840743512
24	25	-0.7521940118593707
24	26	-0.7516156381038417
24	27	-0.7504568350451989
24	28	-0.7485214452463655
24	29	-0.7460874418926284
24	30	-0.7428522634047828
24	31	-0.7394374793545254
24	32	-0.7359010994205101
24	33	-0.7319877340171262
24	34	-0.727525462273556
24	35	-0.7221405083778306
25	2	-0.531383552750475
25	3	-0.5550433691685033
25	4	-0.5745622367649204
25	5	-0.5918304977304023
25	6	-0.6067569401826262
25	7	-0.6188306815000614
25	8	-0.6311624338417907
25	9	-0.6419469023919863
25	10	-0.6534968135130502
25	11	-0.6659425835380598
25	12	-0.6790972880289723
25	13	-0.6910240151991199
25	14	-0.7016694085262869
25	15	-0.7115881119175067
25	16	-0.7212051074210887
25	17	-0.7292493754424372
25	18	-0.7359639547639922
25	19	-0.7416150056366149
25	20	-0.7467520606840372
25	21	-0.7507423323732977
25	22	-0.7530939621734893
25	23	-0.7546737614721545
25	24	-0.7558363052538979
25	25	-0.756259528676188
25	26	-0.7561505143684287
25	27	-0.755498207904638
25	28	-0.7541258892384433
25	29	-0.752258882531648
25	30	-0.7500109132554393
25	31	-0.7470574435234856
25	32	-0.7436663733907545
25	33	-0.7400135825284744
25	34	-0.7355402529072685
25	35	-0.7307591001273216
26	2	-0.5390281416616594
26	3	-0.556333106976042
26	4	-0.5712502048371906
26	5	-0.5872521944091116
26	6	-0.6019409340770607
26	7	-0.6148293546591926
26	8	-0.6252628836824817
26	9	-0.6362625284933635
26	10	-0.6460285259744822
26	11	-0.6573081667541584
26	12	-0.6692968448802327
26	13	-0.6815332606415944
26	14	-0.6926227444023562
26	15	-0.7030640587304786
26	16	-0.7130125047483763
26	17	-0.7223179048250347
26	18	-0.7308787515375483
26	19	-0.738413211607375
26	20	-0.7448810513627412
26	21	-0.7502595091450034
26	22	-0.7541865092025539
26	23	-0.7565867742395278
26	24	-0.7583789295392808
26	25	-0.7595502371945422
26	26	-0.7599868941445821
26	27	-0.7597935997890468
26	28	-0.7589046565456111
26	29	-0.7575764334757296
26	30	-0.7558650593699722
26	31	-0.7538303993224565
26	32	-0.7509037953540946
26	33	-0.7473969129728952
26	34	-0.7431546843329814
26	35	-0.7383495506447235
27	2	-0.5439547860394133
27	3	-0.5634415467227609
27	4	-0.5746007320650418
27	5	-0.5860643328485909
27	6	-0.5993497041513832
27	7	-0.6117141681565988
27	8	-0.6225114748882482
27	9	-0.6313098761644574
27	10	-0.6411351228387511
27	11	-0.6504932806881772
27	12	-0.6611777061074232
27	13	-0.672008462917146
27	14	-0.6831007205391969
27	15	-0.6937879148517428
27	16	-0.7041050035740164
27	17	-0.7137373804496644
27	18	-0.7231151970234411
27	19	-0.7322431521899795
27	20	-0.7403894498445361
27	21	-0.7470728789935106
27	22	-0.7523529763785869
27	23	-0.7562947067357515
27	24	-0.7589784088369984
27	25	-0.760847436847196
27	26	-0.7620773676494522
27	27	-0.7624713746581455
27	28	-0.7620858657314252
27	29	-0.761261601127442
27	30	-0.7601060828680327
27	31	-0.7586115270690065
27	32	-0.756557892655285
27	33	-0.7535342693356413
27	34	-0.7494466192756007
27	35	-0.7448669822916527
28	2	-0.5484953686903872
28	3	-0.5680276825071142
28	4	-0.5809257781001788
28	5	-0.5897560590720071
28	6	-0.5991144656748895
28	7	-0.6101566252541974
28	8	-0.6204406498667708
28	9	-0.6293333845621764
28	10	-0.6368116405844275
28	11	-0.6461148105630656
28	12	-0.6548204734950647
28	13	-0.664299861673113
28	14	-0.6739041716134065
28	15	-0.6844363469082166
28	16	-0.69491557411958
28	17	-0.7048204546718064
28	18	-0.7145347275378988
28	19	-0.7241989843196427
28	20	-0.7337540970236348
28	21	-0.7420009834201327
28	22	-0.7485930809146552
28	23	-0.7539091779936675
28	24	-0.7581157502725381
28	25	-0.7609291979412566
28	26	-0.7628894159659603
28	27	-0.7641158246076755
28	28	-0.7643364268217256
28	29	-0.7640553385626268
28	30	-0.763430568649846
28	31	-0.7625129302769407
28	32	-0.7610126127418538
28	33	-0.7588744726451373
28	34	-0.7553040832313113
28	35	-0.7508958394357041
29	2	-0.5534643256455971
29	3	-0.5729958817081525
29	4	-0.5854917374328974
29	5	-0.5954616091204233
29	6	-0.6026898129950965
29	7	-0.6101521065656541
29	8	-0.6192192523853906
29	9	-0.6276298481749611
29	10	-0.6350726691380199
29	11	-0.6419255197711934
29	12	-0.6505006446473603
29	13	-0.6580274959488825
29	14	-0.6663314674512607
29	15	-0.6753816459658442
29	16	-0.6856254350594111
29	17	-0.6956092084299319
29	18	-0.7055023958047932
29	19	-0.7154833272594955
29	20	-0.7253052994392403
29	21	-0.7347924586791807
29	22	-0.7428488413902363
29	23	-0.7494561291185529
29	24	-0.7550254516296258
29	25	-0.7593279790951615
29	26	-0.7622535030444219
29	27	-0.7642313076925091
29	28	-0.7652929633550498
29	29	-0.7656231373509707
29	30	-0.7655530232160236
29	31	-0.7651609425070179
29	32	-0.7642306749507815
29	33	-0.7626389086646536
29	34	-0.7599365597848675
29	35	-0.7560566270937716
30	2	-0.5565615282499139
30	3	-0.5768976734492782
30	4	-0.5896816234439883
30	5	-0.5993960754795421
30	6	-0.6074593853272927
30	7	-0.6131879130216638
30	8	-0.6190228678912988
30	9	-0.626338609008407
30	10	-0.6333244306975195
30	11	-0.6400720050254607
30	12	-0.6462313341113236
30	13	-0.6536062383384746
30	14	-0.6600499817565316
30	15	-0.667831151484188
30	16	-0.6765892618359163
30	17	-0.6862541302620424
30	18	-0.6961709760182835
30	19	-0.7062789502281221
30	20	-0.7164219656329807
30	21	-0.7260109911748877
30	22	-0.7351649509320394
30	23	-0.7431454291178755
30	24	-0.749974011696055
30	25	-0.7556038500845762
30	26	-0.7599546404538585
30	27	-0.7628786099369781
30	28	-0.7646950335955716
30	29	-0.7658635376754112
30	30	-0.766412946300083
30	31	-0.7665804527808352
30	32	-0.766159173618116
30	33	-0.7651213320385076
30	34	-0.7629583223901247
30	35	-0.7599219319132385
31	2	-0.5607281447294403
31	3	-0.5799089460990472
31	4	-0.5929914895293795
31	5	-0.6029036976896748
31	6	-0.6108436160445575
31	7	-0.617268170986228
31	8	-0.6216422137110579
31	9	-0.6261006991868969
31	10	-0.6320977395670531
31	11	-0.638382826785444
31	12	-0.644402063840896
31	13	-0.6495281797793823
31	14	-0.6557916662900286
31	15	-0.6618263556658691
31	16	-0.6693779527479836
31	17	-0.6776175176543857
31	18	-0.6872352098814027
31	19	-0.6973559050525374
31	20	-0.7076316289525769
31	21	-0.7175418455958786
31	22	-0.7267609784770978
31	23	-0.7357358608116779
31	24	-0.7438906298252663
31	25	-0.7507310879475267
31	26	-0.7563534568640763
31	27	-0.7606307241124179
31	28	-0.7633321220894209
31	29	-0.7652321495228566
31	30	-0.7665970394925539
31	31	-0.767378415283542
31	32	-0.7675051976791915
31	33	-0.7669541772415962
31	34	-0.765331016752695
31	35	-0.7628356915523092
32	2	-0.5650238519408302
32	3	-0.5838745168984021
32	4	-0.5962069566412642
32	5	-0.6062272087108135
32	6	-0.6143420518714157
32	7	-0.6207495392999745
32	8	-0.6258061402814813
32	9	-0.6289959497162916
32	10	-0.6325794985908328
32	11	-0.6379281155175387
32	12	-0.6434001820806388
32	13	-0.6484051644353306
32	14	-0.6525770342744367
32	15	-0.6584349873203237
32	16	-0.6642084596641755
32	17	-0.6712078968914073
32	18	-0.6792887223027573
32	19	-0.6889088143724874
32	20	-0.6990410296660036
32	21	-0.708973998474077
32	22	-0.7185166541306565
32	23	-0.7273036384800758
32	24	-0.7362115543169747
32	25	-0.7442071450083538
32	26	-0.750987351771285
32	27	-0.756471786703658
32	28	-0.760448387587041
32	29	-0.7631936114249204
32	30	-0.7652894572913627
32	31	-0.7668778131236295
32	32	-0.7676280926553811
32	33	-0.767640307265959
32	34	-0.7665015154108281
32	35	-0.7645390572596482
33	2	-0.5685547789592033
33	3	-0.5876252728678437
33	4	-0.5998191743506938
33	5	-0.6094711747077822
33	6	-0.6176541621086135
33	7	-0.624248482655756
33	8	-0.6293589771220783
33	9	-0.6332167061840057
33	10	-0.6357451216505
33	11	-0.6389346972497036
33	12	-0.6435589085287146
33	13	-0.6480611335911126
33	14	-0.6521247276895187
33	15	-0.6558789499480514
33	16	-0.6614626282949986
33	17	-0.6666911425580692
33	18	-0.673493544156876
33	19	-0.6814945702704998
33	20	-0.690987976740374
33	21	-0.7006892979551064
33	22	-0.7101837479982175
33	23	-0.7193005030877623
33	24	-0.7278575413644336
33	25	-0.7364726494403097
33	26	-0.74428883219093
33	27	-0.7509077930533646
33	28	-0.7560565076530189
33	29	-0.7600361735728214
33	30	-0.7629979498828922
33	31	-0.765330249775394
33	32	-0.7669143432884227
33	33	-0.7675668139694302
33	34	-0.7670141352596183
33	35	-0.7655637045576886
34	2	-0.5714059749660021
34	3	-0.590947013777035
34	4	-0.6033823633906285
34	5	-0.6129984719120144
34	6	-0.6210242773079063
34	7	-0.6276928121335603
34	8	-0.6329991388614462
34	9	-0.6369365709891558
34	10	-0.6401184490694842
34	11	-0.6423539330541255
34	12	-0.6449220017974038
34	13	-0.6486130582816282
34	14	-0.6521792155157893
34	15	-0.6557660966660518
34	16	-0.6591887180050789
34	17	-0.6641899410372284
34	18	-0.669185780501813
