Completed	MM	p_corr
10	32	-0.400489285367446
11	2	-0.4790861608359798
11	3	-0.49690625481776035
11	4	-0.500531394990006
11	5	-0.5025089925444519
11	6	-0.5024929514208363
11	7	-0.501300933933934
11	8	-0.4986073502751064
11	9	-0.4954710383760814
11	10	-0.49221045399884544
11	11	-0.4887962912336802
11	12	-0.48567424641906803
11	13	-0.4820336552817793
11	14	-0.478271580107319
11	15	-0.47482957673839254
11	16	-0.4716042393536185
11	17	-0.468581721524477
11	18	-0.4656466610897813
11	19	-0.46325193904086637
11	20	-0.46137111132692865
11	21	-0.4599574136788498
11	22	-0.45834321736913364
11	23	-0.4564962584722216
11	24	-0.45466708208241446
11	25	-0.4523766877047867
11	26	-0.4495991272580724
11	27	-0.4463676082536535
11	28	-0.4423947312565818
11	29	-0.4375929641022675
11	30	-0.4319247782045418
11	31	-0.42550696145552597
11	32	-0.41848436762671803
11	33	-0.41109558928195206
11	34	-0.4030031191298036
12	2	-0.48006980895908763
12	3	-0.5011465822600844
12	4	-0.508160072560175
12	5	-0.5108515754347795
12	6	-0.5116512797229825
12	7	-0.5111622150668236
12	8	-0.5098463744658479
12	9	-0.5067715509195181
12	10	-0.5036864202901813
12	11	-0.5007934531017901
12	12	-0.4978228387669461
12	13	-0.4946847318465043
12	14	-0.49111468980025186
12	15	-0.4878473263450393
12	16	-0.48494456036684186
12	17	-0.48200840015517865
12	18	-0.4794252247669324
12	19	-0.4771145552025639
12	20	-0.4750514454765817
12	21	-0.47323926364832314
12	22	-0.47156671525653493
12	23	-0.46970134925989604
12	24	-0.4679129718662205
12	25	-0.4657691831292095
12	26	-0.46316869316104886
12	27	-0.45998881122346746
12	28	-0.45608316046444586
12	29	-0.4517381397091812
12	30	-0.4468043278326036
12	31	-0.44113501950532175
12	32	-0.43445375801935376
12	33	-0.4271026804630019
12	34	-0.4189648513288112
12	35	-0.41057496302594065
13	2	-0.47395173379506966
13	3	-0.4954154329435745
13	4	-0.507777270243092
13	5	-0.514399762702492
13	6	-0.5167385265597985
13	7	-0.5172785736455177
13	8	-0.5168678507380111
13	9	-0.515167751584703
13	10	-0.5123348427516372
13	11	-0.5097284181458571
13	12	-0.5073442632914338
13	13	-0.5044090589671889
13	14	-0.5013722871397183
13	15	-0.49836456450135036
13	16	-0.4957084944946003
13	17	-0.493150622660456
13	18	-0.49069950548054103
13	19	-0.48872939102574264
13	20	-0.48676774578108994
13	21	-0.4848339710618726
13	22	-0.48283569643664764
13	23	-0.48096324416576236
13	24	-0.4791716175768001
13	25	-0.47709580431041904
13	26	-0.4746623264583765
13	27	-0.47168671607310314
13	28	-0.46786696711191317
13	29	-0.4636310354697056
13	30	-0.45916963995799775
13	31	-0.4542127561956175
13	32	-0.44830351511461586
13	33	-0.4413109094783964
13	34	-0.43325587268288435
13	35	-0.42485711079845234
14	2	-0.46672727192165264
14	3	-0.48883097751029647
14	4	-0.5004174722166395
14	5	-0.5109719615811773
14	6	-0.516914202200439
14	7	-0.519244123081868
14	8	-0.5199960689914039
14	9	-0.5193047284577453
14	10	-0.5178547481492484
14	11	-0.5156424719120415
14	12	-0.5136264445753459
14	13	-0.5113216190687782
14	14	-0.5085310360843357
14	15	-0.5060414095273739
14	16	-0.5036827083164915
14	17	-0.5014133967247837
14	18	-0.4993499679614028
14	19	-0.4975457541566505
14	20	-0.4959290060662234
14	21	-0.494120919138497
14	22	-0.49205486180853064
