Starts	JS	p_corr
48	19	-0.42926740632723226
48	20	-0.420747928316614
48	21	-0.41138484929528674
48	22	-0.4020616613830122
49	2	-0.5680318369260458
49	3	-0.570999841579764
49	4	-0.5692826900522617
49	5	-0.5661385678549485
49	6	-0.5612661154789977
49	7	-0.5539696515416764
49	8	-0.5443195722326025
49	9	-0.5329103428000884
49	10	-0.5206266226728932
49	11	-0.5083190145082075
49	12	-0.49795374468215575
49	13	-0.4885801155902648
49	14	-0.4798916488006853
49	15	-0.47148154042178386
49	16	-0.4636905435940192
49	17	-0.45689249612791694
49	18	-0.4500659533389066
49	19	-0.44295060686749116
49	20	-0.435198278810341
49	21	-0.426543586390424
49	22	-0.41692533481296684
49	23	-0.40745369106941987
50	2	-0.5731429526235077
50	3	-0.5758689965054332
50	4	-0.5736763633851674
50	5	-0.5709690855969461
50	6	-0.5674193992187807
50	7	-0.561989247152188
50	8	-0.5538636693567608
50	9	-0.5437954125084702
50	10	-0.532348335350861
50	11	-0.5205581926421026
50	12	-0.5086697663368223
50	13	-0.4986888437566704
50	14	-0.48892459880490713
50	15	-0.4804468895563625
50	16	-0.47232025346082085
50	17	-0.46516217287202855
50	18	-0.4589339049103913
50	19	-0.4523777128509491
50	20	-0.4456973299485992
50	21	-0.4377281614401169
50	22	-0.42878317554571266
50	23	-0.4190153198834188
50	24	-0.4094439124912428
51	2	-0.5764340946703868
51	3	-0.580326105519263
51	4	-0.5782910953803962
51	5	-0.5754683709995819
51	6	-0.57237191099141
51	7	-0.5681324107543271
51	8	-0.5617784464556228
51	9	-0.5531791121654906
51	10	-0.5430524286823405
51	11	-0.5321009258034363
51	12	-0.5207475517505981
51	13	-0.5093237168735409
51	14	-0.498960661448226
51	15	-0.4893827972748208
51	16	-0.48117092205748313
51	17	-0.4736743713433872
51	18	-0.4670466247523453
51	19	-0.4610883128486242
51	20	-0.4549731370367831
51	21	-0.448056767170511
51	22	-0.43978847197004395
51	23	-0.4306761953200224
51	24	-0.42075510702131835
51	25	-0.4108969359152114
51	26	-0.4008127701670895
52	2	-0.5739457172748046
52	3	-0.5809695505619276
52	4	-0.580674266983036
52	5	-0.5784475325703479
52	6	-0.5756676502142316
52	7	-0.5720701264411485
52	8	-0.5668994545229039
52	9	-0.5599002039728973
52	10	-0.5511668269311276
52	11	-0.5414556416114061
52	12	-0.5309370144085269
52	13	-0.5201009007425481
52	14	-0.5085521751922675
52	15	-0.4985455729724583
52	16	-0.489417037974696
52	17	-0.48188518558942806
52	18	-0.4750042304592125
52	19	-0.46873837410763114
52	20	-0.46323337991457064
52	21	-0.45685281096053326
52	22	-0.4495968180838182
52	23	-0.44112999196732056
52	24	-0.43186326169864747
52	25	-0.4216672185355957
52	26	-0.4117556895378088
52	27	-0.40160347449901845
53	2	-0.5671215743693995
53	3	-0.5762853163686074
53	4	-0.5783845433893493
53	5	-0.5779712003441563
53	6	-0.5761217156551625
53	7	-0.5731964417304776
53	8	-0.5689133883557843
53	9	-0.5631865054370908
53	10	-0.5560357816930999
53	11	-0.5477367536395908
53	12	-0.5384750541644685
53	13	-0.5285035086284703
53	14	-0.5175772211653773
53	15	-0.5065767961813197
53	16	-0.497162649975618
53	17	-0.4888716783927687
53	18	-0.4820392505567349
53	19	-0.4756241620503535
53	20	-0.4699245429559492
53	21	-0.4641696379529469
53	22	-0.45744284572353183
53	23	-0.44997054028016187
53	24	-0.4413366784615081
53	25	-0.4317984688199574
53	26	-0.42155636576335104
53	27	-0.41156441941494576
53	28	-0.4013613552580426
54	2	-0.5580620876628412
54	3	-0.5680871661763489
54	4	-0.5720966439170938
54	5	-0.5737069627499091
54	6	-0.573489967413887
54	7	-0.5713588759957422
54	8	-0.5676808620397141
54	9	-0.5627521139835411
54	10	-0.5568332435725255
54	11	-0.5500488242811863
54	12	-0.5421249888488222
54	13	-0.5333279023309019
54	14	-0.5232370945271106
54	15	-0.512851096175121
54	16	-0.5025820966629982
54	17	-0.49406633312157205
54	18	-0.4866113777007448
54	19	-0.4802513868106815
54	20	-0.47445075577048534
54	21	-0.4685465483186193
54	22	-0.46246665835369155
54	23	-0.45554863074323304
54	24	-0.44792158007288885
54	25	-0.43901810229606597
54	26	-0.4294782606551067
54	27	-0.41920163916483416
54	28	-0.40920702063684344
55	2	-0.5488246437470242
55	3	-0.559222365673859
55	4	-0.5640409797683239
55	5	-0.5671133725580456
55	6	-0.5684667159916464
55	7	-0.5676238572537324
55	8	-0.5645959215448348
55	9	-0.5601775452630772
55	10	-0.5550136844343917
55	11	-0.5493946119658641
55	12	-0.542874272174858
55	13	-0.5353190769230978
55	14	-0.5263174798138505
55	15	-0.5167374857713247
55	16	-0.5070756262512267
55	17	-0.49786967442784874
55	18	-0.49031416517342735
55	19	-0.48349201717474455
55	20	-0.47781567497606264
55	21	-0.4718767117569158
55	22	-0.4657489704762045
55	23	-0.45947486398676124
55	24	-0.45239429750777505
55	25	-0.4444603079044166
55	26	-0.43555345674353246
55	27	-0.4259782457543627
55	28	-0.4157493621601398
55	29	-0.40624834534630694
56	2	-0.5439351411931167
56	3	-0.5513422461206913
56	4	-0.5555706610533117
56	5	-0.5585685029911666
56	6	-0.5610374557065132
56	7	-0.5615269258036513
56	8	-0.5596269139850681
56	9	-0.5557410375762513
56	10	-0.5510203447920813
56	11	-0.5460869117868756
56	12	-0.5406610171817638
56	13	-0.534451177551185
56	14	-0.5266251096642012
56	15	-0.5180838340953052
56	16	-0.509207569854395
56	17	-0.5005690420955816
56	18	-0.49230990335267477
56	19	-0.4853744384995471
56	20	-0.479222788595421
56	21	-0.47336349026018476
56	22	-0.4671692566575725
56	23	-0.4608076126470765
56	24	-0.4543590734077279
56	25	-0.4469595430446606
56	26	-0.439013164652377
56	27	-0.4300763417104343
56	28	-0.4205494084428501
56	29	-0.4108232850083472
56	30	-0.4018538439431782
57	2	-0.5401607402485062
57	3	-0.5472899187567817
57	4	-0.5495246178399827
57	5	-0.5516968075986923
57	6	-0.5537751406799301
57	7	-0.5550159390851306
57	8	-0.5541611527255137
57	9	-0.5511124241336675
