MM,JS,p_corr
15,15,0.8019060219385602
15,16,0.8042558049010683
15,17,0.7971098866292194
15,18,0.7971646409180013
15,19,0.7871457969068708
15,20,0.7852517168084213
15,21,0.773355036564401
15,22,0.7708689176948897
15,23,0.7587153269590862
16,2,0.6012408700931631
16,3,0.6402997386836751
16,4,0.6719162537977608
16,5,0.6918955417981405
16,6,0.7144115406658728
16,7,0.7251144805558416
16,8,0.7412206296490297
16,9,0.7479393512010489
16,10,0.7629593285672126
16,11,0.7686807816020569
16,12,0.7830812427927738
16,13,0.7852053598064022
16,14,0.7960699783158233
16,15,0.7936813817423292
16,16,0.8009177868052239
16,17,0.792747538058416
16,18,0.7961050625723943
16,19,0.7853364511307712
16,20,0.7860793920853325
16,21,0.7737940322044855
16,22,0.7733620854736292
16,23,0.7609177489021985
17,3,0.6339591476294681
17,4,0.6634388351314626
17,5,0.6853366569892864
17,6,0.7058552103417391
17,7,0.7190291521579799
17,8,0.7336643025811157
17,9,0.7428956780817502
17,10,0.7567651331007343
17,11,0.7652356163854005
17,12,0.7786953334296013
17,13,0.7843441550242926
17,14,0.7941536104066298
17,15,0.7956731041481309
17,16,0.8016285712935961
17,17,0.7999423344490795
17,18,0.8023873209086358
17,19,0.7950102793886917
17,20,0.7951549667846616
17,21,0.7854489420087997
17,22,0.7844717877985069
17,23,0.7740065156054151
18,3,0.6207748731362259
18,4,0.6523311477605166
18,5,0.6727263620947803
18,6,0.6940346760521372
18,7,0.7058959846729603
18,8,0.7221463605894467
18,9,0.7303171764836633
18,10,0.7454197576069563
18,11,0.7528341017376524
18,12,0.767826814567015
18,13,0.7724216544973554
18,14,0.7848550586708285
18,15,0.785006852284874
18,16,0.7946469176586499
18,17,0.7919476239305281
18,18,0.798742470420226
18,19,0.7908973357473248
18,20,0.7938743235427413
18,21,0.7837953607803859
18,22,0.7850929919364527
18,23,0.7742497274822099
19,3,0.6133356538004885
19,4,0.6430452543864572
19,5,0.6657075479112886
19,6,0.6855781278996533
19,7,0.699251408976271
19,8,0.7143882897527193
19,9,0.7246847124810144
19,10,0.7388752058485728
19,11,0.7485447389547206
19,12,0.7625614096568594
19,13,0.7696342206947413
19,14,0.7809354143341575
19,15,0.7841499273702398
19,16,0.7927080347112924
19,17,0.7933647826642889
19,18,0.799235266483217
19,19,0.797363894637134
19,20,0.7996585454920395
19,21,0.7925965073645544
19,22,0.7933550858122271
19,23,0.7848360245381494
20,3,0.6016504008760224
20,4,0.6316938837838841
20,5,0.6529487108077894
20,6,0.6744833949079477
20,7,0.6871819310970233
20,8,0.7030751269146471
20,9,0.7124892048825531
20,10,0.7279125682045233
20,11,0.7365467707792308
20,12,0.7515335548146068
20,13,0.7570301766848122
20,14,0.7697540248473959
20,15,0.7720201316924123
20,16,0.7829212253425513
20,17,0.7831264477233661
20,18,0.7922211312393641
20,19,0.789947749454277
20,20,0.7957869435701617
20,21,0.7882821894412538
20,22,0.7914770479907766
20,23,0.7824691313687506
21,4,0.6228022096267795
21,5,0.6453008536958429
21,6,0.6659569077671719
21,7,0.6804949445637072
21,8,0.6955876248211805
21,9,0.7066197611133724
21,10,0.7211039749099478
21,11,0.7316482160842014
21,12,0.745521097790132
21,13,0.7530293630989843
21,14,0.7647299556594058
21,15,0.7691706491398174
21,16,0.7792760979875177
21,17,0.7821444592073553
21,18,0.7904585991820511
21,19,0.7911275346200733
21,20,0.7961595954742582
21,21,0.7942497320659184
21,22,0.7967226312950426
21,23,0.7904417184775828
22,4,0.6123485637864503
22,5,0.6340038918723059
22,6,0.6553529562890733
22,7,0.6691830825230631
22,8,0.6856779215695638
22,9,0.6956425707183411
