MM,Unsold,p_corr
33,36,0.45054523701933963
33,37,0.4625147755264966
33,38,0.47385286400185195
33,39,0.48344205274093754
33,40,0.4913345107082297
33,41,0.4971996796561534
34,34,0.408625570186066
34,35,0.424591084416476
34,36,0.43897864697178995
34,37,0.4512684755147513
34,38,0.46287668496785833
34,39,0.473154538607786
34,40,0.48189725472981404
34,41,0.48874946651895185
35,33,0.40840594971920974
35,34,0.4244634283831486
35,35,0.43887280912175897
35,36,0.45133979827391535
35,37,0.46314684808860007
35,38,0.473578721502859
35,39,0.4829018139041083
35,40,0.4904993892599088
35,41,0.4963096103309735
36,34,0.41231927495433013
36,35,0.42696440934150076
36,36,0.4395843240934135
36,37,0.4516779839373876
36,38,0.462434416107759
36,39,0.47203336490752307
36,40,0.4803166095524283
36,41,0.48695652275150586
37,33,0.411812245486631
37,34,0.4263985986174566
37,35,0.43916102131798007
37,36,0.4513042701214914
37,37,0.46224693080496043
37,38,0.4720642617124425
37,39,0.48053533638777224
37,40,0.4877773086734442
37,41,0.4937998117864493
38,34,0.414179231344382
38,35,0.4269935840852621
38,36,0.43935722936961163
38,37,0.4504475757772613
38,38,0.4605416928205776
38,39,0.4693296410200001
38,40,0.4768406801086038
38,41,0.483541101184284
39,33,0.4131310037812385
39,34,0.42614630902298256
39,35,0.4384885917192904
39,36,0.4497226162432763
39,37,0.4598852708032406
39,38,0.4688663632550487
39,39,0.4766254225950977
39,40,0.48352806993291253
39,41,0.4893676098204791
40,33,0.4004828533322669
40,34,0.41372601519605495
40,35,0.4263328755055532
40,36,0.43760954309421696
40,37,0.4479731255996071
40,38,0.45709008594321787
40,39,0.4651118519715544
40,40,0.47231366738241076
40,41,0.47841105250175414
41,33,0.4122277052876546
41,34,0.42499210200351234
41,35,0.4364877613892547
41,36,0.44684066365626746
41,37,0.45610048151247184
41,38,0.464199496473893
41,39,0.4716124293498183
41,40,0.47796601728739574
41,41,0.4838340754133331
42,34,0.41231595136722
42,35,0.42402620953464915
42,36,0.434618059943714
42,37,0.4438890420175162
42,38,0.45215836571544193
42,39,0.4596841340792507
42,40,0.46627800932075353
42,41,0.4724247410879933
43,33,0.41027840799736104
43,34,0.4221615783303226
43,35,0.43293938932685916
43,36,0.4424278772471387
43,37,0.4506822712163006
43,38,0.4583348179209043
43,39,0.4650242659259378
43,40,0.4713825954017207
43,41,0.47696723856788514
44,34,0.40919832437351406
44,35,0.420177856919329
