MM,Completed,p_corr
5,18,-0.46675273854744953
5,19,-0.4596985017109257
5,20,-0.4530968930659041
5,21,-0.44712500859916443
5,22,-0.44186101327399546
5,23,-0.4344007567318901
5,24,-0.43023608512560363
5,25,-0.42761867092965
5,26,-0.4310533429414981
5,27,-0.4358621512230788
5,28,-0.43986568499042406
5,29,-0.4458416268830433
5,30,-0.45341598349411694
5,31,-0.46339955685500167
5,32,-0.47474397070110746
5,33,-0.4825485077055373
5,34,-0.486102235191179
5,35,-0.48735555056538743
5,36,-0.4870474321958123
5,37,-0.4893110405101772
5,38,-0.49375984874812656
5,39,-0.4970769174822255
5,40,-0.49925063897638344
5,41,-0.4999601598276726
6,6,-0.42685757587351275
6,7,-0.4543129127242972
6,8,-0.4779097246612803
6,9,-0.4983953328754242
6,10,-0.5117788783350676
6,11,-0.5198079593685679
6,12,-0.5217054859176814
6,13,-0.5194587118962114
6,14,-0.5126292028069404
6,15,-0.5065017229284394
6,16,-0.4988628901961948
6,17,-0.4913888976024875
6,18,-0.4822870083349525
6,19,-0.4744337295315482
6,20,-0.4665399574114606
6,21,-0.4598463528512366
6,22,-0.45271660513272666
6,23,-0.4467267988990817
6,24,-0.44185224718241206
6,25,-0.43802536306566053
6,26,-0.437800703624116
6,27,-0.44100709954799494
6,28,-0.4458845406034821
6,29,-0.4515085592325641
6,30,-0.45930642095199026
6,31,-0.4681697161667749
6,32,-0.4781050616627211
6,33,-0.4866840893376936
6,34,-0.4927620267736528
6,35,-0.4961208457576671
6,36,-0.4976295475355299
6,37,-0.499000833590494
6,38,-0.5020487942020954
6,39,-0.5050985868146042
6,40,-0.5075475351983004
6,41,-0.5099324173896759
7,5,-0.41095733449322386
7,6,-0.43881747944546773
7,7,-0.46542298356292766
7,8,-0.4903972509599138
7,9,-0.5066035489803726
7,10,-0.5174694103640152
7,11,-0.5233660626707324
7,12,-0.5245631895596296
7,13,-0.5220089419613126
7,14,-0.5135345344126432
7,15,-0.5067900517083611
7,16,-0.49848097110578266
7,17,-0.4909038526012568
7,18,-0.482741934461201
7,19,-0.47422264947653636
7,20,-0.4660520662541685
7,21,-0.4586142557593251
7,22,-0.45060638744755704
7,23,-0.4459178507558879
7,24,-0.442059857598698
7,25,-0.43973854419831593
7,26,-0.43962933699286594
7,27,-0.44248100169587556
7,28,-0.44832586597481283
7,29,-0.45567466381303384
7,30,-0.4650338200053349
7,31,-0.4738828472293504
7,32,-0.4815233915956995
7,33,-0.4882868566408379
7,34,-0.493718681950195
7,35,-0.49670205946154344
7,36,-0.4993678616641065
7,37,-0.5011149745246228
7,38,-0.5032933416905332
7,39,-0.5054563851500392
7,40,-0.5082053261507983
7,41,-0.5104020002405666
8,5,-0.40872605892170877
8,6,-0.4375443095638088
8,7,-0.46389369749487497
8,8,-0.4878822933343807
8,9,-0.5056592185213459
8,10,-0.5174359068562853
8,11,-0.5247635668400014
8,12,-0.527828396698566
8,13,-0.5282620038754113
8,14,-0.5228019565624252
8,15,-0.5150153170242677
8,16,-0.5079559909184381
8,17,-0.5016985767642631
8,18,-0.495106726949357
8,19,-0.4868237090514912
8,20,-0.4781154540509255
8,21,-0.4693495856842861
8,22,-0.4608375825640089
8,23,-0.4538667306424915
8,24,-0.45019333209888746
8,25,-0.44693171168888135
8,26,-0.4455493486495899
8,27,-0.44552603675295843
8,28,-0.45000617008239924
8,29,-0.45767991413751513
8,30,-0.4665692416591376
8,31,-0.47546736880471885
