JS,Completed,p_corr
18,39,-0.6150922087902666
18,40,-0.6175931022105857
18,41,-0.6185265448468534
19,2,-0.40360595140991773
19,3,-0.46299599963026755
19,4,-0.5105563593625135
19,5,-0.5451173168258199
19,6,-0.5730419556568791
19,7,-0.6005413375552239
19,8,-0.6228742832161925
19,9,-0.641146218407717
19,10,-0.6562197313047036
19,11,-0.6685357150290059
19,12,-0.6779499016629564
19,13,-0.6844338661434912
19,14,-0.6869807132995109
19,15,-0.686417449576628
19,16,-0.6835877811012132
19,17,-0.6791500027905025
19,18,-0.6719490226502494
19,19,-0.6625157331999701
19,20,-0.6521094375262516
19,21,-0.6417789374466343
19,22,-0.6311675087961442
19,23,-0.6216296147633288
19,24,-0.6127096409327
19,25,-0.6046295510275631
19,26,-0.598013907785798
19,27,-0.5939674535401751
19,28,-0.5907536825947993
19,29,-0.5900669178416579
19,30,-0.5897926913936935
19,31,-0.5889919251253766
19,32,-0.5891155914173534
19,33,-0.5910057532589383
19,34,-0.5936678216548871
19,35,-0.5961090684263901
19,36,-0.5988498212158098
19,37,-0.6022581817608689
19,38,-0.6051140630678454
19,39,-0.6076345653501172
19,40,-0.6091291515386722
19,41,-0.6102197963039717
20,3,-0.45889352314655074
20,4,-0.5067759310226084
20,5,-0.5423232950206182
20,6,-0.5713077428548293
20,7,-0.5996355490991103
20,8,-0.62259575744282
20,9,-0.6413414310347723
20,10,-0.6568606692520494
20,11,-0.6698770794710929
20,12,-0.6800902809183583
20,13,-0.6873011332275843
20,14,-0.6907484790038129
20,15,-0.6920133050499558
20,16,-0.690632746266648
20,17,-0.6877470233646864
20,18,-0.6827745550801356
20,19,-0.675229924557165
20,20,-0.6657904796396578
20,21,-0.655623558087895
20,22,-0.6451740529236312
20,23,-0.6356590852075801
20,24,-0.6263246009483177
20,25,-0.6168402223283145
20,26,-0.6090951183298701
20,27,-0.6034401000534928
20,28,-0.5996753451282112
20,29,-0.5968591948382482
20,30,-0.5961848172392499
20,31,-0.5950145479573781
20,32,-0.5944490732975504
20,33,-0.5948827983291306
20,34,-0.5968387671054252
20,35,-0.5994819110300131
20,36,-0.6022054152764108
20,37,-0.6058576547743343
20,38,-0.6089783748121661
20,39,-0.6117534498555398
20,40,-0.6135044396081426
20,41,-0.6149680874712037
21,3,-0.4541789922554154
21,4,-0.5026225184244769
21,5,-0.5382324894178203
21,6,-0.5668811545120624
21,7,-0.5956334690580538
21,8,-0.6186415804747267
21,9,-0.6369440320008257
21,10,-0.6525896192760609
21,11,-0.666104535612437
21,12,-0.6757272200160216
21,13,-0.6821143388663949
21,14,-0.6838202147692798
21,15,-0.6840417783481524
21,16,-0.6809742394395963
21,17,-0.6772792935435418
21,18,-0.6709931816522577
21,19,-0.6629747234157843
21,20,-0.6533770055056224
21,21,-0.6433303579444338
21,22,-0.6336497729135527
21,23,-0.6240755604802075
21,24,-0.6149416769025392
21,25,-0.6054044672401425
21,26,-0.5980407523551878
21,27,-0.5920145561019908
21,28,-0.588453371555285
21,29,-0.5860928619160962
21,30,-0.5855888831545526
21,31,-0.5848241799723465
21,32,-0.5845663353340098
21,33,-0.5853496984741777
21,34,-0.5877977063260477
21,35,-0.590607033512186
21,36,-0.5942890135918039
21,37,-0.5980099581753111
21,38,-0.6015000164329087
21,39,-0.603161229212252
21,40,-0.6051454643618723
21,41,-0.6060238584257909
22,3,-0.4501073020353524
22,4,-0.498370871114675
22,5,-0.5343347462948504
22,6,-0.5638622568161454
22,7,-0.5939395073200109
22,8,-0.6177225221653513
22,9,-0.6366583471283381
22,10,-0.6527555990783452
22,11,-0.666812960383598
22,12,-0.6772124151592901
22,13,-0.6844578293274225
22,14,-0.6869256373250748
22,15,-0.6880785783021783
22,16,-0.6867657702818333
22,17,-0.6846979813133572
22,18,-0.6801117910821122
22,19,-0.6741208401811002
22,20,-0.6661714109668792
22,21,-0.6566806397479744
22,22,-0.6471380689201537
22,23,-0.637548632082523
22,24,-0.628262889738996
22,25,-0.618304424234765
22,26,-0.6096618136070194
22,27,-0.6025114363030002
22,28,-0.597299393926907
22,29,-0.5943597243125163
22,30,-0.5917821605236625
22,31,-0.5906187816772238
22,32,-0.5899753249547133
22,33,-0.5901021991065606
22,34,-0.5911655253950582
22,35,-0.5932800161203666
22,36,-0.5971045931042945
22,37,-0.6007978024807271
22,38,-0.6046075311746323
22,39,-0.6065108234327858
22,40,-0.6087286251446983
22,41,-0.6098740236179735
23,3,-0.4455431055652041
23,4,-0.4944370631809885
23,5,-0.5303987440894843
23,6,-0.560479086272673
23,7,-0.5906369310928377
23,8,-0.6137814403376293
23,9,-0.6328842140571931
23,10,-0.6497070102792949
23,11,-0.6632455953305174
23,12,-0.6729516828008527
23,13,-0.6782867868109592
23,14,-0.6798883648113341
23,15,-0.679363824187329
23,16,-0.6774066757728342
23,17,-0.6739034106536599
23,18,-0.6688221510518969
23,19,-0.6624726815908167
23,20,-0.654336031174031
23,21,-0.6455093932283491
23,22,-0.6357883522777532
23,23,-0.6263218525856
23,24,-0.6170369245379884
23,25,-0.6074978346642164
23,26,-0.5983901864455697
23,27,-0.5914756705709352
23,28,-0.5866853355374667
23,29,-0.5839139898931264
23,30,-0.5818131087333429
23,31,-0.5810441960152875
23,32,-0.5807603296135213
23,33,-0.5815213164949561
23,34,-0.5826527103474237
23,35,-0.5857401285488792
23,36,-0.5897281390772094
23,37,-0.5938459910586629
23,38,-0.5964612329565965
23,39,-0.5986529117801316
23,40,-0.6002697764483841
23,41,-0.6008900099846213
