MM,Unsold,p_corr
31,35,-0.4802109209255996
31,36,-0.5039730040170605
31,37,-0.49544982621993156
31,38,-0.5170377854380436
31,39,-0.5079961987232825
31,40,-0.5284110524346931
31,41,-0.5198897837211948
32,26,-0.40551686509663176
32,28,-0.42762216578312634
32,29,-0.4189673109507671
32,30,-0.44608156149455536
32,31,-0.43722704397268114
32,32,-0.4625232906519288
32,33,-0.4530561563896757
32,34,-0.4768355084108701
32,35,-0.46688055259249184
32,36,-0.49127880385167266
32,37,-0.4828512368764253
32,38,-0.5050848069353557
32,39,-0.49625459860315335
32,40,-0.5173307884315107
32,41,-0.5091024077370546
33,24,-0.40030078253535517
33,26,-0.4231039060954941
33,27,-0.41681352453093096
33,28,-0.4462856161232702
33,29,-0.43904873563829727
33,30,-0.465360829044623
33,31,-0.45614141049943935
33,32,-0.48065003584695015
33,33,-0.47214264084285934
33,34,-0.49524314239054357
33,35,-0.4861807503326448
33,36,-0.5092426552061424
33,37,-0.5015446592241926
33,38,-0.5226907766264183
33,39,-0.5142754372198487
33,40,-0.534460842886126
33,41,-0.5263168923359054
34,26,-0.404878724949295
34,28,-0.4284675028347236
34,29,-0.4213969410581398
34,30,-0.44941586989400056
34,31,-0.44018146299298644
34,32,-0.46605447828654145
34,33,-0.4576131208480457
34,34,-0.4817791895143377
34,35,-0.47277702199572647
34,36,-0.4965527249640932
34,37,-0.489000629855908
34,38,-0.510846017424666
34,39,-0.5026874422717079
34,40,-0.5235558217295709
34,41,-0.5156426043460158
35,26,-0.42131439905161155
35,27,-0.41618052076965684
35,28,-0.4453283684303909
35,29,-0.4396562097926814
35,30,-0.4673487716975236
35,31,-0.45948629096352606
35,32,-0.48448820720379043
35,33,-0.4756187387164318
35,34,-0.4984860490683507
35,35,-0.49041019053584245
35,36,-0.5131466542939666
35,37,-0.5064676386104419
35,38,-0.5274449151882635
35,39,-0.5199625084466287
35,40,-0.5396960074613255
35,41,-0.5321801670493207
36,26,-0.40397660236140165
36,28,-0.4275642731320304
36,29,-0.4219450629378657
36,30,-0.450017759019348
36,31,-0.44239030582240585
36,32,-0.4690310418922292
36,33,-0.46036012656898967
36,34,-0.48453265313786736
36,35,-0.4764575234682322
36,36,-0.5003888250584457
36,37,-0.49390330548480355
36,38,-0.5156265093971263
36,39,-0.5083582674372525
36,40,-0.528820791520883
36,41,-0.5214178396329598
37,26,-0.41899127529753966
37,27,-0.41498567088142346
37,28,-0.44328335727277474
37,29,-0.4387859081429557
37,30,-0.46608422231561325
37,31,-0.4597989999949033
37,32,-0.4849967507163374
37,33,-0.4776183862191964
37,34,-0.5007572770097904
37,35,-0.49264299481032725
37,36,-0.5157303560080136
37,37,-0.5101154248394327
37,38,-0.5307283594253959
37,39,-0.5242836672758056
37,40,-0.5437914634089763
37,41,-0.5370206362962602
38,26,-0.4028488363298062
38,28,-0.42639754593347173
38,29,-0.4221005872699491
38,30,-0.448901312171246
38,31,-0.4428582568569578
38,32,-0.468440862194427
