MM,Starts,p_corr
33,41,-0.5576771801963918
34,34,-0.41071281632803064
34,35,-0.43264902047248466
34,36,-0.45456684342153053
34,37,-0.4745142529895265
34,38,-0.49348143192701227
34,39,-0.5106355621731512
34,40,-0.5270679023342097
34,41,-0.5415479663652336
35,33,-0.40872695027407957
35,34,-0.42883053582663727
35,35,-0.4506146348954439
35,36,-0.471402467859346
35,37,-0.4906707509444874
35,38,-0.5079645498642233
35,39,-0.5245378787152484
35,40,-0.5399906105614807
35,41,-0.553413045831028
36,34,-0.4079004752273608
36,35,-0.42907790128304973
36,36,-0.45011157035406574
36,37,-0.470012827475763
36,38,-0.488098242986906
36,39,-0.5056582767294855
36,40,-0.5219306802949424
36,41,-0.5359763869139047
37,33,-0.40546444565924084
37,34,-0.4251950430290949
37,35,-0.44524450946151606
37,36,-0.46559877880291295
37,37,-0.4838082738005284
37,38,-0.5012962841138305
37,39,-0.5178528745331474
37,40,-0.5330548778381623
37,41,-0.546825117158436
38,34,-0.40423600477799176
38,35,-0.4240533750851659
38,36,-0.44382690272640773
38,37,-0.46225905016870844
38,38,-0.4803664451069681
38,39,-0.4977139706806668
38,40,-0.5138883113815652
38,41,-0.5284520482035353
39,33,-0.4015190890482283
39,34,-0.4200405176403955
39,35,-0.4392226204045865
39,36,-0.457354354472473
39,37,-0.4751968283677505
39,38,-0.4922803578829122
39,39,-0.5085563578594456
39,40,-0.5244480032630408
39,41,-0.5386518738958267
40,35,-0.41831313988543584
40,36,-0.43627505208456674
40,37,-0.4535291859896393
40,38,-0.47080519343988003
40,39,-0.4876952360124029
40,40,-0.5043893236918296
40,41,-0.5195498862742677
41,34,-0.4145517745529693
41,35,-0.43202086489534663
41,36,-0.4494101001449023
41,37,-0.4656377327304667
41,38,-0.4818285358634203
41,39,-0.49844717005347283
41,40,-0.5147692442029328
41,41,-0.5292608442942954
42,35,-0.4109423717961772
42,36,-0.4282966338780488
42,37,-0.4443244753056684
42,38,-0.4598633339042282
42,39,-0.4766805847156883
42,40,-0.4936464075048647
42,41,-0.5089656570677764
43,34,-0.40678565340546446
43,35,-0.4232439668468238
43,36,-0.43957642584766143
43,37,-0.45457584567045933
43,38,-0.4698956147843788
43,39,-0.48633164832369746
43,40,-0.5026119620040717
43,41,-0.5168112419613247
44,35,-0.40229504512865943
44,36,-0.4181750377621914
44,37,-0.4330736650555943
44,38,-0.4481766359477345
44,39,-0.46396240914123155
44,40,-0.4804821668643873
44,41,-0.49532311883716645
45,35,-0.412519436822842
45,36,-0.4273794620487966
45,37,-0.4421414489124084
45,38,-0.4569091619196512
45,39,-0.4721146418985659
45,40,-0.4874737137894128
45,41,-0.5005739724100061
46,36,-0.4058890134439884
46,37,-0.4201713548766582
46,38,-0.43482668995918144
46,39,-0.44981696467282867
46,40,-0.4646080487949321
46,41,-0.47790851174501325
47,36,-0.41323368024369866
47,37,-0.427254558826927
47,38,-0.441395090271962
47,39,-0.45530502419705465
47,40,-0.4683741975099376
47,41,-0.480827081120959
