MM,Permits,p_corr
19,28,-0.45377550907504155
19,29,-0.461190553125689
19,30,-0.46808724595253826
19,31,-0.4740445360068122
19,32,-0.47915029837653317
19,33,-0.48354137124641666
19,34,-0.48707364461473673
19,35,-0.49009735170951796
19,36,-0.4925614871126345
19,37,-0.4933776851003204
19,38,-0.4938912547902161
19,39,-0.4937752154708981
19,40,-0.493009215542669
19,41,-0.4916373209935496
20,24,-0.4108709669429462
20,25,-0.4211346629789103
20,26,-0.4305457951379018
20,27,-0.4395225164329007
20,28,-0.44788593920090564
20,29,-0.4560133306851605
20,30,-0.4635812579299059
20,31,-0.4699668987306609
20,32,-0.47533395717197663
20,33,-0.4799222668123442
20,34,-0.48377904473079886
20,35,-0.4872403119813716
20,36,-0.4900849789304069
20,37,-0.4912285657893243
20,38,-0.4919617277980453
20,39,-0.49232719207194825
20,40,-0.4920604191619796
20,41,-0.4912752684931028
21,23,-0.4118404054320481
21,24,-0.4239927234157148
21,25,-0.4338160407041814
21,26,-0.44287562213544174
21,27,-0.4513036777434387
21,28,-0.4595696986016613
21,29,-0.46749637608041966
21,30,-0.474406540109338
21,31,-0.479798771338202
21,32,-0.48435279230932915
21,33,-0.4881087139261241
21,34,-0.4914926425782082
21,35,-0.49444051625378943
21,36,-0.4965689349411501
21,37,-0.4972883182147621
21,38,-0.497494807878881
21,39,-0.49734547315623934
21,40,-0.4966525801176722
21,41,-0.4954941165031401
22,23,-0.4014189199721571
22,24,-0.4144157849285188
22,25,-0.4251772704083507
22,26,-0.43501006404869413
22,27,-0.4438824022634655
22,28,-0.4527281076843562
22,29,-0.4613222190984971
22,30,-0.4689399968457092
22,31,-0.4750230360512368
22,32,-0.48001244577967583
22,33,-0.48405382857425666
22,34,-0.48772755215567676
22,35,-0.4910265566719503
22,36,-0.4935795479924171
22,37,-0.49467797445442185
22,38,-0.49522225926845814
22,39,-0.4953025424222529
22,40,-0.4950742501158204
22,41,-0.4943863395154717
23,22,-0.40140888273595127
23,23,-0.414519474291157
23,24,-0.42711955488833675
23,25,-0.4375189328971608
23,26,-0.44677480707257655
23,27,-0.45551358832342764
23,28,-0.46415679983395575
23,29,-0.47210940485208897
23,30,-0.4787682638519624
23,31,-0.4840579991075448
23,32,-0.488231936310295
23,33,-0.4918400440564121
23,34,-0.4950399661483095
23,35,-0.4976347169479147
23,36,-0.4997821056247818
23,37,-0.5003627387759586
23,38,-0.5003939637469261
23,39,-0.500052897100006
23,40,-0.4994336628437812
23,41,-0.4983540422987894
24,23,-0.4038530746639153
24,24,-0.4170102208479907
24,25,-0.4282695711440987
24,26,-0.438404892061932
24,27,-0.44786706367487467
24,28,-0.45692787922407724
24,29,-0.4654464374382867
24,30,-0.47277658840153464
24,31,-0.4787922934765924
24,32,-0.48366441580374825
24,33,-0.48770724289593037
24,34,-0.49119274472283814
24,35,-0.49410871457427313
24,36,-0.49663116453423034
24,37,-0.4976359282433326
24,38,-0.49804715026384005
24,39,-0.4980450426501762
24,40,-0.4976604102997841
24,41,-0.49703513083481793
25,22,-0.40372941272315643
25,23,-0.41658296102613945
25,24,-0.42944253372044683
25,25,-0.4400900710561754
25,26,-0.4500453402133909
25,27,-0.45929397358460666
25,28,-0.46770731302928614
25,29,-0.4752823876754152
25,30,-0.48184112454367617
25,31,-0.48703002709419835
25,32,-0.4914698866571217
25,33,-0.49505053808830657
25,34,-0.497851365102986
25,35,-0.500386912197008
25,36,-0.5024207660283716
25,37,-0.5029230782103565
25,38,-0.5029147402787902
25,39,-0.5025260930156377
25,40,-0.5017535792188818
25,41,-0.5005471953782775
26,23,-0.4064711401867225
26,24,-0.4194653866313627
26,25,-0.43067759668555117
26,26,-0.44143322327023615
26,27,-0.451496154940186
26,28,-0.4606076016764565
26,29,-0.4686000945034773
26,30,-0.4757283042802338
26,31,-0.48158350047855986
26,32,-0.48672493412916495
26,33,-0.49098017495119833
26,34,-0.4942097664067228
26,35,-0.49702782969594916
26,36,-0.4994016858911596
26,37,-0.500289736780649
26,38,-0.5006953171443849
26,39,-0.5006721066731383
26,40,-0.5002395753337389
26,41,-0.49927101464825757
27,22,-0.4068830144005812
27,23,-0.41973911889581966
27,24,-0.4321204293201285
27,25,-0.4431121431823833
27,26,-0.4536305689450218
27,27,-0.4630284488408309
27,28,-0.47117954268606776
27,29,-0.47840862297948117
27,30,-0.48469807349199645
27,31,-0.4901101355097077
27,32,-0.4947619436020257
27,33,-0.498306414295069
27,34,-0.501152513651538
27,35,-0.5034877921004605
27,36,-0.5053589961034256
27,37,-0.5058196208889046
